mode_index,m,n,q,q2,n_valid_segments,best_mean_abs_DeltaF,best_rms_DeltaF,best_K_span,best_F_span,best_n_points,best_branch_id,best_root_id,best_kind_id,best_curve_id
0,0,0,0,0,4,3.9237731969039428e-06,3.0996144039591004e-05,0.061587725150100053,0.061695963638173527,2080,1,1,3,1
1,0,1,0.015786733819426566,0.00024922096468542646,4,1.516947961015245e-05,3.0901927869821959e-05,0.061534356237491657,0.061666237496602647,2078,1,1,3,1
2,1,0,0.015786733819426566,0.00024922096468542646,4,1.516947961015245e-05,3.0901927869821959e-05,0.061534356237491657,0.061666237496602647,2078,1,1,3,1
3,1,1,0.022325813073007059,0.00049844192937085292,4,2.7340572764990526e-05,3.7541949098902299e-05,0.061480987324883246,0.061636558704765788,2077,1,1,3,1
4,0,2,0.031572484027273924,0.00099682174765246701,4,5.2329745103422484e-05,6.0751008360269408e-05,0.061374249499666439,0.061581451719575658,2074,1,1,3,1
5,2,0,0.031572484027273924,0.00099682174765246701,4,5.2329745103422484e-05,6.0751008360269408e-05,0.061374249499666439,0.061581451719575658,2074,1,1,3,1
6,1,2,0.035299330196731683,0.0012460427123378935,4,6.5021400355874009e-05,7.4299609685157261e-05,0.061320880587058035,0.061554373296379944,2073,1,1,3,1
7,2,1,0.035299330196731683,0.0012460427123378935,4,6.5021400355874009e-05,7.4299609685157261e-05,0.061320880587058035,0.061554373296379944,2073,1,1,3,1
8,2,2,0.044650235109178697,0.001993643495304934,4,0.00010343472898782979,0.00011716785088208216,0.061160773849232811,0.061482625034223998,2069,1,1,3,1
9,0,3,0.047356267073247985,0.0022426160311127914,4,0.00011631200457093252,0.00013174268405259076,0.061107404936624407,0.061462806989269217,2067,1,1,3,1
10,3,0,0.047356267073247985,0.0022426160311127914,4,0.00011631200457093252,0.00013174268405259076,0.061107404936624407,0.061462806989269217,2067,1,1,3,1
11,1,3,0.049918303214334298,0.0024918369957982181,4,0.00012930547632288367,0.00014647113720837448,0.061054036024016003,0.061443257162505559,2066,1,1,3,1
12,3,1,0.049918303214334298,0.0024918369957982181,4,0.00012930547632288367,0.00014647113720837448,0.061054036024016003,0.061443257162505559,2066,1,1,3,1
13,2,3,0.056916059058628246,0.0032394377787652584,4,0.00016870512275218459,0.00019096604293544991,0.060893929286190786,0.061392680630789752,2062,1,1,3,1
14,3,2,0.056916059058628246,0.0032394377787652584,4,0.00016870512275218459,0.00019096604293544991,0.060893929286190786,0.061392680630789752,2062,1,1,3,1
15,0,4,0.063137099529621057,0.0039862933370132759,4,0.00020861851670525851,0.00023575103367593346,0.060731491934453451,0.061329333993588211,2058,1,1,3,1
16,4,0,0.063137099529621057,0.0039862933370132759,4,0.00020861851670525851,0.00023575103367593346,0.060731491934453451,0.061329333993588211,2058,1,1,3,1
17,1,4,0.065080828987488334,0.0042355143016987026,4,0.0002220003248622406,0.000250797658145898,0.0606789716885602,0.061326720315137327,2057,1,1,3,1
18,4,1,0.065080828987488334,0.0042355143016987026,4,0.0002220003248622406,0.000250797658145898,0.0606789716885602,0.061326720315137327,2057,1,1,3,1
19,3,3,0.066971875158349736,0.0044852320622255828,4,0.00023539844828390706,0.00026588984202003681,0.060625478591872256,0.061257320868713924,2055,1,1,3,1
20,2,4,0.070591182768570626,0.0049831150846657429,4,0.00026177821695476313,0.0002957155823557791,0.060514321100926548,0.060851398699692978,2047,1,1,3,1
21,4,2,0.070591182768570626,0.0049831150846657429,4,0.00026177821695476313,0.0002957155823557791,0.060514321100926548,0.060851398699692978,2047,1,1,3,1
22,0,5,0.078913998152505507,0.0062274191044136423,4,0.0003244129764482005,0.00036538916173885905,0.060250872820542895,0.059506337558372251,2022,1,1,3,1
23,5,0,0.078913998152505507,0.0062274191044136423,4,0.0003244129764482005,0.00036538916173885905,0.060250872820542895,0.059506337558372251,2022,1,1,3,1
24,3,4,0.078923439915693408,0.0062289093681260673,4,0.00032449047817226251,0.0003654760401801584,0.060250676848783068,0.059506337558372251,2022,1,1,3,1
25,4,3,0.078923439915693408,0.0062289093681260673,4,0.00032449047817226251,0.0003654760401801584,0.060250676848783068,0.059506337558372251,2022,1,1,3,1
26,1,5,0.080477574945440972,0.006476640069099069,4,0.00033741359210757548,0.00037974954759275713,0.060166863554713138,0.059436984768363794,2019,1,1,3,1
27,5,1,0.080477574945440972,0.006476640069099069,4,0.00033741359210757548,0.00037974954759275713,0.060166863554713138,0.059436984768363794,2019,1,1,3,1
28,2,5,0.084995534306609957,0.0072242408520661093,4,0.0003765528675763339,0.00042279016542036223,0.059787935105163142,0.059218571568334294,2009,1,1,3,1
29,5,2,0.084995534306609957,0.0072242408520661093,4,0.0003765528675763339,0.00042279016542036223,0.059787935105163142,0.059218571568334294,2009,1,1,3,1
30,4,4,0.089289342443690065,0.0079725866740265518,4,0.0004154564025326019,0.00046557004690740277,0.059512138227534539,0.059003797771456666,2001,1,1,3,1
31,3,5,0.092032793804852159,0.0084700351355264346,4,0.00044152563380494083,0.00049424864665069596,0.059349334749084867,0.058927493332650724,1997,1,1,3,1
