mode_index,m,n,q,q2,branch_id,root_id,kind_id,source_id_0lambda_1trace,curve_id,hopf_branch_id,is_success,n_points,K_min,K_max,K_span,F_intersection_min,F_intersection_max,F_intersection_span,mean_DeltaF,std_DeltaF,mean_abs_DeltaF,median_abs_DeltaF,p95_abs_DeltaF,rms_DeltaF,max_abs_DeltaF,K_at_max_abs_DeltaF,F_intersection_at_max_abs_DeltaF,F_Hopf_at_max_abs_DeltaF,DeltaF_at_max_abs_DeltaF,touch_Kmin,touch_Kmax,touch_Fmin,touch_Fmax,edge_fraction,complex_fraction,det_min,det_max,mean_abs_imag_lambda,min_abs_imag_lambda,rad_real_max
0,0,0,0,0,1,1,1,0,1,-1,1,2281,0.00053368912608405602,0.062497720877570648,0.061964031751486591,1.9081746585370985e-05,0.082988659106070714,0.082969577359485347,-0.0010947842081877419,0.0044041981566070518,0.0010949875374428363,2.1481106504683822e-08,0.0091154802203196814,0.0045382280534541465,0.033852262727611104,0.061047729353057384,0.082988659106070714,0.04913639637845961,-0.033852262727611104,0,0,0,0,0,0.99201161946259986,-1.1643416962392428e-05,0.0019340586469194752,0.025547911476321385,0,0.062396254367094013
0,0,0,0,0,1,1,3,1,1,-1,1,2080,0.00090727151434289517,0.062494996664442949,0.061587725150100053,1.3282044338538847e-05,0.061709245682512064,0.061695963638173527,-3.5995927830825095e-06,3.0786423584415474e-05,3.9237731969039428e-06,1.614203951061377e-08,4.4980075439585083e-06,3.0996144039591004e-05,0.00049069568787488138,0.062479091612777531,0.061374249499666439,0.060883553811791558,-0.00049069568787488138,0,0,0,0,0,0.99399293286219081,-0.0049593428902694782,0.0019340586469194752,0.040449079721109359,0,0.014878028984802165
0,0,0,0,0,1,-1,1,0,1,-1,1,2163,0.0015555096553953865,0.062395318652387906,0.060839808996992518,6.6711140760507002e-05,0.058765185042795168,0.058698473902034663,0.00015386422756089035,0.00064435449114080888,0.00015466737863970205,1.8205133584664468e-08,0.0014276466735021246,0.00066247030935449489,0.0044794983278863554,0.060779329084886549,0.043495663775850568,0.047975162103736924,0.0044794983278863554,0,0,0,0,0,0.98440979955456576,-4.8347783967782927e-06,0.0019340586469194752,0.016784502838632018,0,0.00098968621231960508
0,0,0,0,0,1,-1,1,0,2,-1,0,33,0.062388521233677614,0.062446313561674946,5.7792327997331638e-05,0.058752712585805097,0.059799920273839513,0.0010472076880344156,0.0002553525817061716,0.00039238891403077975,0.00030823375950292701,8.2259599307944742e-05,0.0010214226529782391,0.00046816022987676093,0.0010470109680443332,0.062441627751834552,0.058752712585805097,0.059799723553849431,0.0010470109680443332,0,0,0,0,0,1,-1.1222556228490101e-06,0.00043889227320032187,0.016043423527570419,0.006006265336015045,1.6974341191821734e-05
0,0,0,0,0,1,-1,1,0,3,-1,0,12,0.062483966354260817,0.062495870422086722,1.1904067825904696e-05,0.061433119205787083,0.061709245682512064,0.00027612647672498047,1.3707725714142671e-05,0.00020731438137510316,0.00016904592746224377,0.000186473066494032,0.00031227558684916994,0.00020776706781681231,0.00035652519065784705,0.062483966354260817,0.061440960640426957,0.06108443544976911,-0.00035652519065784705,0,0,0,0,0,1,-1.9618976635292849e-07,0.00021039213059402496,0.0093195199180830836,0.0049316565422178691,1.7072713917557127e-06
0,0,0,0,0,1,-1,3,1,1,-1,1,2080,0.00090727151434289517,0.062494996664442949,0.061587725150100053,1.3282044338538847e-05,0.061709245682512064,0.061695963638173527,-3.5995927830825095e-06,3.0786423584415474e-05,3.9237731969039428e-06,1.614203951061377e-08,4.4980075439585083e-06,3.0996144039591004e-05,0.00049069568787488138,0.062479091612777531,0.061374249499666439,0.060883553811791558,-0.00049069568787488138,0,0,0,0,0,0.99399293286219081,-0.0049593428902694782,0.0019340586469194752,0.02962364377690933,0,0.014878028984802165
1,0,1,0.015786733819426566,0.00024922096468542646,1,1,1,0,1,-1,1,2280,0.00053368912608405602,0.062497796619594599,0.061964107493510542,1.8574184148773543e-05,0.082988659106070714,0.082970084921921941,-0.0010828175177861148,0.0044081823949323751,0.0011053026407216002,1.304284188240537e-05,0.0091325448617237213,0.004539225242683625,0.033853146920802692,0.061047534057565425,0.082988659106070714,0.049135512185268022,-0.033853146920802692,0,0,0,0,0,0.99055918663761799,-1.3949277244009856e-05,0.0019283131311410239,0.0254762133152437,0,0.011171671191770163
1,0,1,0.015786733819426566,0.00024922096468542646,1,1,3,1,1,-1,1,2078,0.00096064042695130083,0.062494996664442956,0.061534356237491657,1.4721823845619463e-05,0.061680959320448266,0.061666237496602647,9.63302127994219e-06,2.9362119254097782e-05,1.516947961015245e-05,1.2112275000327952e-05,2.3798216620316003e-05,3.0901927869821959e-05,0.00045755823148405789,0.062479940279492677,0.061374249499666439,0.060916691268182381,-0.00045755823148405789,0,0,0,0,0,0.99505125486037471,-0.0049701502557500258,0.0019283131311410239,0.040425941802289124,0,0.014915598274282339
1,0,1,0.015786733819426566,0.00024922096468542646,1,-1,1,0,1,-1,1,2169,0.0015753230465208753,0.062395178352280437,0.060819855305759563,3.3786260670171535e-05,0.058737212844837419,0.058703426584167245,0.00017213740778286796,0.00065837705966828965,0.0001721752199053483,1.2674904086545924e-05,0.0015364319099277093,0.00068050836868892945,0.0045254127484405937,0.060725546814212564,0.043228819212808536,0.04775423196124913,0.0045254127484405937,0,0,0,0,0,0.97673843108141545,-7.1964944976983282e-06,0.0019283131311410239,0.016721244452547843,0,0.00099269425229436543
1,0,1,0.015786733819426566,0.00024922096468542646,1,-1,1,0,2,-1,0,31,0.062389522568244003,0.062446184943822772,5.6662375578768465e-05,0.058753488121457351,0.059771258415513541,0.0010177702940561903,0.00028337966894131434,0.00038767474764137146,0.00031516818086774472,5.6507866710880927e-05,0.0010237504622626833,0.00048020385955143048,0.00104623543239208,0.062441627751834552,0.058753488121457351,0.059799723553849431,0.00104623543239208,0,0,0,0,0,1,-3.5820305733334375e-06,0.00043228234339989379,0.015794473254596261,0.0058215812850539268,2.6402409916489074e-05
1,0,1,0.015786733819426566,0.00024922096468542646,1,-1,1,0,3,-1,0,10,0.062484893547095237,0.062495760127440902,1.0866580345665622e-05,0.06143422016361301,0.061680959320448266,0.00024673915683525588,3.7902207762690458e-05,0.00020312855125994119,0.00018073847865853962,0.00019726994266291639,0.00029698320885321002,0.0002066344252302813,0.00031499368250336585,0.062484893547095237,0.06144096064042695,0.061125966957923585,-0.00031499368250336585,0,0,0,0,0,1,-2.6603071376681236e-06,0.0001991682802246125,0.008967174370789489,0.0047025154903922511,1.1467167904987676e-05
1,0,1,0.015786733819426566,0.00024922096468542646,1,-1,3,1,1,-1,1,2078,0.00096064042695130083,0.062494996664442956,0.061534356237491657,1.4721823845619463e-05,0.061680959320448266,0.061666237496602647,9.63302127994219e-06,2.9362119254097782e-05,1.516947961015245e-05,1.2112275000327952e-05,2.3798216620316003e-05,3.0901927869821959e-05,0.00045755823148405789,0.062479940279492677,0.061374249499666439,0.060916691268182381,-0.00045755823148405789,0,0,0,0,0,0.99505125486037471,-0.0049701502557500258,0.0019283131311410239,0.029583479517589512,0,0.014915598274282339
2,1,0,0.015786733819426566,0.00024922096468542646,1,1,1,0,1,-1,1,2280,0.00053368912608405602,0.062497796619594599,0.061964107493510542,1.8574184148773543e-05,0.082988659106070714,0.082970084921921941,-0.0010828175177861148,0.0044081823949323751,0.0011053026407216002,1.304284188240537e-05,0.0091325448617237213,0.004539225242683625,0.033853146920802692,0.061047534057565425,0.082988659106070714,0.049135512185268022,-0.033853146920802692,0,0,0,0,0,0.99055918663761799,-1.3949277244009856e-05,0.0019283131311410239,0.0254762133152437,0,0.011171671191770163
2,1,0,0.015786733819426566,0.00024922096468542646,1,1,3,1,1,-1,1,2078,0.00096064042695130083,0.062494996664442956,0.061534356237491657,1.4721823845619463e-05,0.061680959320448266,0.061666237496602647,9.63302127994219e-06,2.9362119254097782e-05,1.516947961015245e-05,1.2112275000327952e-05,2.3798216620316003e-05,3.0901927869821959e-05,0.00045755823148405789,0.062479940279492677,0.061374249499666439,0.060916691268182381,-0.00045755823148405789,0,0,0,0,0,0.99505125486037471,-0.0049701502557500258,0.0019283131311410239,0.040425941802289124,0,0.014915598274282339
2,1,0,0.015786733819426566,0.00024922096468542646,1,-1,1,0,1,-1,1,2169,0.0015753230465208753,0.062395178352280437,0.060819855305759563,3.3786260670171535e-05,0.058737212844837419,0.058703426584167245,0.00017213740778286796,0.00065837705966828965,0.0001721752199053483,1.2674904086545924e-05,0.0015364319099277093,0.00068050836868892945,0.0045254127484405937,0.060725546814212564,0.043228819212808536,0.04775423196124913,0.0045254127484405937,0,0,0,0,0,0.97673843108141545,-7.1964944976983282e-06,0.0019283131311410239,0.016721244452547843,0,0.00099269425229436543
