mode_index,m,n,q,q2,branch_id,root_id,kind_id,source_id_0lambda_1trace,curve_id,raw_n_points,raw_K_min,raw_K_max,raw_K_span,raw_F_min,raw_F_max,raw_F_span,raw_contour_length,raw_touch_Kmin,raw_touch_Kmax,raw_touch_Fmin,raw_touch_Fmax,raw_edge_fraction,valid_n_points,valid_K_min,valid_K_max,valid_K_span,valid_F_min,valid_F_max,valid_F_span,valid_contour_length,valid_touch_Kmin,valid_touch_Kmax,valid_touch_Fmin,valid_touch_Fmax,valid_edge_fraction,complex_fraction,det_min,det_max,mean_abs_imag_lambda,min_abs_imag_lambda,rad_real_max
0,0,0,0,0,1,1,1,0,1,2754,2.9649395893559546e-05,0.062497723599706935,0.062468074203813374,1.9081746585370985e-05,0.10000000000000001,0.099980918253414638,0.13593142825316165,0,0,0,1,0.00036310820624546115,2281,0.00053368912608405602,0.062497720877570648,0.061964031751486591,1.9081746585370985e-05,0.082988659106070714,0.082969577359485347,0.11767738444245082,0,0,0,0,0,0.99201161946259986,-1.1643416962392428e-05,0.0019340586469194752,0.025547911476321385,0,0.062396254367094013
0,0,0,0,0,1,1,3,1,1,2830,5.3366064139530388e-05,0.070997598276491519,0.070944232212351993,3.5605860940147357e-09,0.10000000000000001,0.099999996439413916,0.13606597687092065,0,0,1,1,0.00070671378091872788,2080,0.00090727151434289517,0.062494996664442949,0.061587725150100053,1.3282044338538847e-05,0.061709245682512064,0.061695963638173527,0.095923448506037137,0,0,0,0,0,0.99399293286219081,-0.0049593428902694782,0.0019340586469194752,0.040449079721109359,0,0.014878028984802165
0,0,0,0,0,1,-1,1,0,1,4041,0.0015555096553953865,0.062396434510793033,0.060840924855397646,0,0.058765185042795168,0.058765185042795168,0.19084153672983994,0,0,1,0,0.011630784459292255,2163,0.0015555096553953865,0.062395318652387906,0.060839808996992518,6.6711140760507002e-05,0.058765185042795168,0.058698473902034663,0.10777175934688722,0,0,0,0,0,0.98440979955456576,-4.8347783967782927e-06,0.0019340586469194752,0.016784502838632018,0,0.00098968621231960508
0,0,0,0,0,1,-1,1,0,2,35,0.062388521233677614,0.062447475480984768,5.8954247307153873e-05,0.058752712585805097,0.059799920273839513,0.0010472076880344156,0.0021335399984139937,0,0,0,0,0,33,0.062388521233677614,0.062446313561674946,5.7792327997331638e-05,0.058752712585805097,0.059799920273839513,0.0010472076880344156,0.0021327610852027506,0,0,0,0,0,1,-1.1222556228490101e-06,0.00043889227320032187,0.016043423527570419,0.006006265336015045,1.6974341191821734e-05
0,0,0,0,0,1,-1,1,0,3,13,0.062483966354260817,0.062496273614479861,1.2307260219043825e-05,0.061433119205787083,0.061709245682512064,0.00027612647672498047,0.00055828098904542073,0,0,0,0,0,12,0.062483966354260817,0.062495870422086722,1.1904067825904696e-05,0.061433119205787083,0.061709245682512064,0.00027612647672498047,0.00055818159760700147,0,0,0,0,0,1,-1.9618976635292849e-07,0.00021039213059402496,0.0093195199180830836,0.0049316565422178691,1.7072713917557127e-06
0,0,0,0,0,1,-1,3,1,1,2830,5.3366064139530388e-05,0.070997598276491519,0.070944232212351993,3.5605860940147357e-09,0.10000000000000001,0.099999996439413916,0.13606597687092065,0,0,1,1,0.00070671378091872788,2080,0.00090727151434289517,0.062494996664442949,0.061587725150100053,1.3282044338538847e-05,0.061709245682512064,0.061695963638173527,0.095923448506037137,0,0,0,0,0,0.99399293286219081,-0.0049593428902694782,0.0019340586469194752,0.02962364377690933,0,0.014878028984802165
0,0,0,0,0,-1,1,3,1,1,1922,4.4505989997799882e-09,0.022571027142629523,0.022571022692030523,6.670557751175728e-05,0.10000000000000001,0.099933294422488245,0.10458383119395152,1,0,0,1,0.0015608740894901144,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,0,-0.0094905489460574335,-4.4496340365102973e-09,0,0,0.037962195784229734
0,0,0,0,0,-1,1,3,1,2,1550,0.048072109990826326,0.070997598276491519,0.022925488285665194,0.062645323564241628,0.10000000000000001,0.037354676435758377,0.079510465575874628,0,0,0,1,0.0012903225806451613,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,0.4696774193548387,-0.0076890780650346255,-1.1256978067843385e-06,0.032818762483099173,0,0.030756312260140049
0,0,0,0,0,-1,-1,3,1,1,1922,4.4505989997799882e-09,0.022571027142629523,0.022571022692030523,6.670557751175728e-05,0.10000000000000001,0.099933294422488245,0.10458383119395152,1,0,0,1,0.0015608740894901144,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,0,-0.0094905489460574335,-4.4496340365102973e-09,0,0,0.037962195784229734
0,0,0,0,0,-1,-1,3,1,2,1550,0.048072109990826326,0.070997598276491519,0.022925488285665194,0.062645323564241628,0.10000000000000001,0.037354676435758377,0.079510465575874628,0,0,0,1,0.0012903225806451613,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,0.4696774193548387,-0.0076890780650346255,-1.1256978067843385e-06,0.013062138364889151,0,0.030756312260140049
