mode_index,m,n,q,q2,branch_id,root_id,kind_id,source_id_0lambda_1trace,n_contour_segments,Z_min,Z_max,Z_span,zero_fraction_absZ_le_tol,skipped_flag
0,0,0,0,0,1,1,1,0,1,-0.20105148784787932,0.12265393579021694,0.32370542363809629,0,0
0,0,0,0,0,1,1,3,1,1,-0.99986657326750861,0.083889863277904375,1.0837564365454129,0,0
0,0,0,0,0,1,-1,1,0,3,-0.9997998621267481,0.013962241472636026,1.013762103599384,0.00066622251832111927,0
0,0,0,0,0,1,-1,3,1,1,-0.99986657326750861,0.083889863277904375,1.0837564365454129,0,0
0,0,0,0,0,-1,1,1,0,0,5.3368912608405602e-05,0.12265393579021694,0.12260056687760854,0,2
0,0,0,0,0,-1,1,3,1,2,-0.041868952661910312,0.083889863277904375,0.12575881593981469,0,0
0,0,0,0,0,-1,-1,1,0,0,-0.099999999999999992,0,0.099999999999999992,0.00066622251832111927,0
0,0,0,0,0,-1,-1,3,1,2,-0.041868952661910312,0.083889863277904375,0.12575881593981469,0,0
1,0,1,0.015786733819426566,0.00024922096468542646,1,1,1,0,1,-0.20108139436364159,0.1226327270805469,0.32371412144418849,0,0
1,0,1,0.015786733819426566,0.00024922096468542646,1,1,3,1,1,-0.99992638629903308,0.083830050246379878,1.0837564365454129,0,0
1,0,1,0.015786733819426566,0.00024922096468542646,1,-1,1,0,3,-0.99983974014188504,0.013932334956873774,1.0137720750987589,0,0
1,0,1,0.015786733819426566,0.00024922096468542646,1,-1,3,1,1,-0.99992638629903308,0.083830050246379878,1.0837564365454129,0,0
1,0,1,0.015786733819426566,0.00024922096468542646,-1,1,1,0,0,3.3431235433571488e-05,0.1226327270805469,0.12259929584511332,0,2
1,0,1,0.015786733819426566,0.00024922096468542646,-1,1,3,1,2,-0.041928765693434816,0.083830050246379878,0.12575881593981469,0,0
1,0,1,0.015786733819426566,0.00024922096468542646,-1,-1,1,0,0,-0.10004122727732606,-3.987535434966244e-05,0.10000135192297641,0,2
1,0,1,0.015786733819426566,0.00024922096468542646,-1,-1,3,1,2,-0.041928765693434816,0.083830050246379878,0.12575881593981469,0,0
2,1,0,0.015786733819426566,0.00024922096468542646,1,1,1,0,1,-0.20108139436364159,0.1226327270805469,0.32371412144418849,0,0
2,1,0,0.015786733819426566,0.00024922096468542646,1,1,3,1,1,-0.99992638629903308,0.083830050246379878,1.0837564365454129,0,0
2,1,0,0.015786733819426566,0.00024922096468542646,1,-1,1,0,3,-0.99983974014188504,0.013932334956873774,1.0137720750987589,0,0
2,1,0,0.015786733819426566,0.00024922096468542646,1,-1,3,1,1,-0.99992638629903308,0.083830050246379878,1.0837564365454129,0,0
2,1,0,0.015786733819426566,0.00024922096468542646,-1,1,1,0,0,3.3431235433571488e-05,0.1226327270805469,0.12259929584511332,0,2
2,1,0,0.015786733819426566,0.00024922096468542646,-1,1,3,1,2,-0.041928765693434816,0.083830050246379878,0.12575881593981469,0,0
2,1,0,0.015786733819426566,0.00024922096468542646,-1,-1,1,0,0,-0.10004122727732606,-3.987535434966244e-05,0.10000135192297641,0,2
2,1,0,0.015786733819426566,0.00024922096468542646,-1,-1,3,1,2,-0.041928765693434816,0.083830050246379878,0.12575881593981469,0,0
3,1,1,0.022325813073007059,0.00049844192937085292,1,1,1,0,1,-0.20111130087940382,0.12261151981142999,0.3237228206908338,0,0
3,1,1,0.022325813073007059,0.00049844192937085292,1,1,3,1,1,-0.99998619933055766,0.083770237214855367,1.0837564365454131,0,0
