mode_index,m,n,q,q2,branch_id,root_id,kind_id,source_id_0lambda_1trace,n_contour_segments,Z_min,Z_max,Z_span,zero_fraction_absZ_le_tol,skipped_flag
280,18,3,0.2871410380238234,0.082449975717398788,1,1,1,0,1,-0.20142028276444149,0.11571460280296555,0.31713488556740704,0,0
280,18,3,0.2871410380238234,0.082449975717398788,1,1,3,1,1,-1.0196545674396844,0.064101869105728668,1.0837564365454131,0,0
280,18,3,0.2871410380238234,0.082449975717398788,1,-1,1,0,2,-1.0129927327589261,0.0013599578658907274,1.0143526906248168,0,0
280,18,3,0.2871410380238234,0.082449975717398788,1,-1,3,1,1,-1.0196545674396844,0.064101869105728668,1.0837564365454131,0,0
280,18,3,0.2871410380238234,0.082449975717398788,-1,1,1,0,1,-0.0065426291447835006,0.11571460280296555,0.12225723194774905,0,0
280,18,3,0.2871410380238234,0.082449975717398788,-1,1,3,1,1,-0.06165694683408602,0.064101869105728668,0.12575881593981469,0,0
280,18,3,0.2871410380238234,0.082449975717398788,-1,-1,1,0,0,-0.11362312931592217,-0.013191996114783798,0.10043113320113836,0,2
280,18,3,0.2871410380238234,0.082449975717398788,-1,-1,3,1,1,-0.06165694683408602,0.064101869105728668,0.12575881593981469,0,0
281,9,16,0.28916564249902038,0.083616768801871258,1,1,1,0,1,-0.20124774990148442,0.11561748908495245,0.31686523898643687,0,0
281,9,16,0.28916564249902038,0.083616768801871258,1,1,3,1,1,-1.0199345977799577,0.063821838765455274,1.0837564365454129,0,0
281,9,16,0.28916564249902038,0.083616768801871258,1,-1,1,0,3,-1.0131794319459302,0.0011808297760073239,1.0143602617219376,0,0
281,9,16,0.28916564249902038,0.083616768801871258,1,-1,3,1,1,-1.0199345977799577,0.063821838765455274,1.0837564365454129,0,0
281,9,16,0.28916564249902038,0.083616768801871258,-1,1,1,0,1,-0.006635972591541299,0.11561748908495245,0.12225346167649376,0,0
281,9,16,0.28916564249902038,0.083616768801871258,-1,1,3,1,1,-0.061936977174359413,0.063821838765455274,0.12575881593981469,0,0
281,9,16,0.28916564249902038,0.083616768801871258,-1,-1,1,0,0,-0.11381569426719153,-0.013378683008299395,0.10043701125889214,0,2
281,9,16,0.28916564249902038,0.083616768801871258,-1,-1,3,1,1,-0.061936977174359413,0.063821838765455274,0.12575881593981469,0,0
282,16,9,0.28916564249902038,0.083616768801871258,1,1,1,0,1,-0.20124774990148442,0.11561748908495245,0.31686523898643687,0,0
282,16,9,0.28916564249902038,0.083616768801871258,1,1,3,1,1,-1.0199345977799577,0.063821838765455274,1.0837564365454129,0,0
282,16,9,0.28916564249902038,0.083616768801871258,1,-1,1,0,3,-1.0131794319459302,0.0011808297760073239,1.0143602617219376,0,0
282,16,9,0.28916564249902038,0.083616768801871258,1,-1,3,1,1,-1.0199345977799577,0.063821838765455274,1.0837564365454129,0,0
282,16,9,0.28916564249902038,0.083616768801871258,-1,1,1,0,1,-0.006635972591541299,0.11561748908495245,0.12225346167649376,0,0
282,16,9,0.28916564249902038,0.083616768801871258,-1,1,3,1,1,-0.061936977174359413,0.063821838765455274,0.12575881593981469,0,0
282,16,9,0.28916564249902038,0.083616768801871258,-1,-1,1,0,0,-0.11381569426719153,-0.013378683008299395,0.10043701125889214,0,2
282,16,9,0.28916564249902038,0.083616768801871258,-1,-1,3,1,1,-0.061936977174359413,0.063821838765455274,0.12575881593981469,0,0
283,7,17,0.28947319914458575,0.083794733023000986,1,1,1,0,1,-0.20126910560801997,0.11560267950120752,0.31687178510922748,0,0
283,7,17,0.28947319914458575,0.083794733023000986,1,1,3,1,1,-1.0199773091930289,0.063779127352384141,1.0837564365454131,0,0
283,7,17,0.28947319914458575,0.083794733023000986,1,-1,1,0,3,-1.0132079080961653,0.0011426233859241023,1.0143505314820895,0,0
283,7,17,0.28947319914458575,0.083794733023000986,1,-1,3,1,1,-1.0199773091930289,0.063779127352384141,1.0837564365454131,0,0
283,7,17,0.28947319914458575,0.083794733023000986,-1,1,1,0,1,-0.0066502097292316766,0.11560267950120752,0.1222528892304392,0,0
283,7,17,0.28947319914458575,0.083794733023000986,-1,1,3,1,1,-0.061979688587430547,0.063779127352384141,0.12575881593981469,0,0
283,7,17,0.28947319914458575,0.083794733023000986,-1,-1,1,0,0,-0.11384506456272933,-0.013407157283680152,0.10043790727904918,0,2
283,7,17,0.28947319914458575,0.083794733023000986,-1,-1,3,1,1,-0.061979688587430547,0.063779127352384141,0.12575881593981469,0,0
284,17,7,0.28947319914458575,0.083794733023000986,1,1,1,0,1,-0.20126910560801997,0.11560267950120752,0.31687178510922748,0,0
284,17,7,0.28947319914458575,0.083794733023000986,1,1,3,1,1,-1.0199773091930289,0.063779127352384141,1.0837564365454131,0,0
284,17,7,0.28947319914458575,0.083794733023000986,1,-1,1,0,3,-1.0132079080961653,0.0011426233859241023,1.0143505314820895,0,0
284,17,7,0.28947319914458575,0.083794733023000986,1,-1,3,1,1,-1.0199773091930289,0.063779127352384141,1.0837564365454131,0,0
284,17,7,0.28947319914458575,0.083794733023000986,-1,1,1,0,1,-0.0066502097292316766,0.11560267950120752,0.1222528892304392,0,0
284,17,7,0.28947319914458575,0.083794733023000986,-1,1,3,1,1,-0.061979688587430547,0.063779127352384141,0.12575881593981469,0,0
284,17,7,0.28947319914458575,0.083794733023000986,-1,-1,1,0,0,-0.11384506456272933,-0.013407157283680152,0.10043790727904918,0,2
284,17,7,0.28947319914458575,0.083794733023000986,-1,-1,3,1,1,-0.061979688587430547,0.063779127352384141,0.12575881593981469,0,0
285,13,13,0.28972949274994758,0.083943178969141927,1,1,1,0,1,-0.20128691912155688,0.11559032685755602,0.31687724597911293,0,0
285,13,13,0.28972949274994758,0.083943178969141927,1,1,3,1,1,-1.0200129362201027,0.063743500325310315,1.0837564365454131,0,0
285,13,13,0.28972949274994758,0.083943178969141927,1,-1,1,0,3,-1.0132316610113867,0.0011248098723871894,1.014356470883774,0,0
285,13,13,0.28972949274994758,0.083943178969141927,1,-1,3,1,1,-1.0200129362201027,0.063743500325310315,1.0837564365454131,0,0
285,13,13,0.28972949274994758,0.083943178969141927,-1,1,1,0,1,-0.006662085404922951,0.11559032685755602,0.12225241226247897,0,0
285,13,13,0.28972949274994758,0.083943178969141927,-1,1,3,1,1,-0.062015315614504372,0.063743500325310315,0.12575881593981469,0,0
285,13,13,0.28972949274994758,0.083943178969141927,-1,-1,1,0,0,-0.11386956320823581,-0.0134309086350627,0.10043865457317311,0,2
285,13,13,0.28972949274994758,0.083943178969141927,-1,-1,3,1,1,-0.062015315614504372,0.063743500325310315,0.12575881593981469,0,0
286,4,18,0.29016142580174104,0.084193653023299272,1,1,1,0,1,-0.20131697600805579,0.11556948523108165,0.31688646123913744,0,0
286,4,18,0.29016142580174104,0.084193653023299272,1,1,3,1,1,-1.0200730499931003,0.063683386552312551,1.0837564365454129,0,0
286,4,18,0.29016142580174104,0.084193653023299272,1,-1,1,0,3,-1.0132717394986457,0.0010839051332941566,1.0143556446319399,0,0
286,4,18,0.29016142580174104,0.084193653023299272,1,-1,3,1,1,-1.0200730499931003,0.063683386552312551,1.0837564365454129,0,0
286,4,18,0.29016142580174104,0.084193653023299272,-1,1,1,0,1,-0.0066821233292555402,0.11556948523108165,0.12225160856033719,0,0
286,4,18,0.29016142580174104,0.084193653023299272,-1,1,3,1,1,-0.062075429387502136,0.063683386552312551,0.12575881593981469,0,0
286,4,18,0.29016142580174104,0.084193653023299272,-1,-1,1,0,0,-0.11391089975292021,-0.013470984483727876,0.10043991526919233,0,2
286,4,18,0.29016142580174104,0.084193653023299272,-1,-1,3,1,1,-0.062075429387502136,0.063683386552312551,0.12575881593981469,0,0
287,18,4,0.29016142580174104,0.084193653023299272,1,1,1,0,1,-0.20131697600805579,0.11556948523108165,0.31688646123913744,0,0
287,18,4,0.29016142580174104,0.084193653023299272,1,1,3,1,1,-1.0200730499931003,0.063683386552312551,1.0837564365454129,0,0
287,18,4,0.29016142580174104,0.084193653023299272,1,-1,1,0,3,-1.0132717394986457,0.0010839051332941566,1.0143556446319399,0,0
287,18,4,0.29016142580174104,0.084193653023299272,1,-1,3,1,1,-1.0200730499931003,0.063683386552312551,1.0837564365454129,0,0
287,18,4,0.29016142580174104,0.084193653023299272,-1,1,1,0,1,-0.0066821233292555402,0.11556948523108165,0.12225160856033719,0,0
287,18,4,0.29016142580174104,0.084193653023299272,-1,1,3,1,1,-0.062075429387502136,0.063683386552312551,0.12575881593981469,0,0
287,18,4,0.29016142580174104,0.084193653023299272,-1,-1,1,0,0,-0.11391089975292021,-0.013470984483727876,0.10043991526919233,0,2
287,18,4,0.29016142580174104,0.084193653023299272,-1,-1,3,1,1,-0.062075429387502136,0.063683386552312551,0.12575881593981469,0,0
288,12,14,0.29057040575132914,0.084431160698492047,1,1,1,0,1,-0.20134547692907892,0.11554972378430622,0.31689520071338517,0,0
288,12,14,0.29057040575132914,0.084431160698492047,1,1,3,1,1,-1.0201300518351466,0.063626384710266284,1.0837564365454129,0,0
288,12,14,0.29057040575132914,0.084431160698492047,1,-1,1,0,3,-1.0133097432285805,0.0010368656641564257,1.0143466088927369,0,0
288,12,14,0.29057040575132914,0.084431160698492047,1,-1,3,1,1,-1.0201300518351466,0.063626384710266284,1.0837564365454129,0,0
288,12,14,0.29057040575132914,0.084431160698492047,-1,1,1,0,1,-0.0067011239432709594,0.11554972378430622,0.12225084772757719,0,0
288,12,14,0.29057040575132914,0.084431160698492047,-1,1,3,1,1,-0.062132431229548403,0.063626384710266284,0.12575881593981469,0,0
288,12,14,0.29057040575132914,0.084431160698492047,-1,-1,1,0,0,-0.11395009615960872,-0.013508985711758723,0.10044111044784999,0,2
288,12,14,0.29057040575132914,0.084431160698492047,-1,-1,3,1,1,-0.062132431229548403,0.063626384710266284,0.12575881593981469,0,0
289,14,12,0.29057040575132914,0.084431160698492047,1,1,1,0,1,-0.20134547692907892,0.11554972378430622,0.31689520071338517,0,0
289,14,12,0.29057040575132914,0.084431160698492047,1,1,3,1,1,-1.0201300518351466,0.063626384710266284,1.0837564365454129,0,0
289,14,12,0.29057040575132914,0.084431160698492047,1,-1,1,0,3,-1.0133097432285805,0.0010368656641564257,1.0143466088927369,0,0
289,14,12,0.29057040575132914,0.084431160698492047,1,-1,3,1,1,-1.0201300518351466,0.063626384710266284,1.0837564365454129,0,0
289,14,12,0.29057040575132914,0.084431160698492047,-1,1,1,0,1,-0.0067011239432709594,0.11554972378430622,0.12225084772757719,0,0
289,14,12,0.29057040575132914,0.084431160698492047,-1,1,3,1,1,-0.062132431229548403,0.063626384710266284,0.12575881593981469,0,0
289,14,12,0.29057040575132914,0.084431160698492047,-1,-1,1,0,0,-0.11395009615960872,-0.013508985711758723,0.10044111044784999,0,2
289,14,12,0.29057040575132914,0.084431160698492047,-1,-1,3,1,1,-0.062132431229548403,0.063626384710266284,0.12575881593981469,0,0
290,11,15,0.29307846094734608,0.085894984271265074,1,1,1,0,1,-0.20120890047841236,0.11542795582461611,0.31663685630302846,0,0
290,11,15,0.29307846094734608,0.085894984271265074,1,1,3,1,1,-1.0204813694926123,0.063275067052800754,1.0837564365454131,0,0
290,11,15,0.29307846094734608,0.085894984271265074,1,-1,1,0,4,-1.0135439704180447,0.00081986579021860011,1.0143638362082632,0,0
290,11,15,0.29307846094734608,0.085894984271265074,1,-1,3,1,1,-1.0204813694926123,0.063275067052800754,1.0837564365454131,0,0
290,11,15,0.29307846094734608,0.085894984271265074,-1,1,1,0,1,-0.0068182298290928025,0.11542795582461611,0.12224618565370891,0,0
