mode_index,m,n,q,q2,n_valid_segments,best_mean_abs_DeltaF,best_rms_DeltaF,best_K_span,best_F_span,best_n_points,best_branch_id,best_root_id,best_kind_id,best_curve_id
280,18,3,0.2871410380238234,0.082449975717398788,4,0.004381091644994374,0.0044309307684715186,0.029017334482630421,0.032801524691143058,892,1,1,1,1
281,9,16,0.28916564249902038,0.083616768801871258,4,0.00443991037103193,0.0044866536249021875,0.027839778143914404,0.031655736152432487,873,1,1,1,1
282,16,9,0.28916564249902038,0.083616768801871258,4,0.00443991037103193,0.0044866536249021875,0.027839778143914404,0.031655736152432487,873,1,1,1,1
283,7,17,0.28947319914458575,0.083794733023000986,4,0.0044515099167463119,0.0044977981467267045,0.027572187114714236,0.0315373659512991,867,1,1,1,1
284,17,7,0.28947319914458575,0.083794733023000986,4,0.0044515099167463119,0.0044977981467267045,0.027572187114714236,0.0315373659512991,867,1,1,1,1
285,13,13,0.28972949274994758,0.083943178969141927,4,0.0044628676517334395,0.0045088964866201418,0.027571805763403963,0.031072924498952166,865,1,1,1,1
286,4,18,0.29016142580174104,0.084193653023299272,4,0.004472919490600356,0.0045186027965196957,0.027570810576547353,0.031069616473607883,861,1,1,1,1
287,18,4,0.29016142580174104,0.084193653023299272,4,0.004472919490600356,0.0045186027965196957,0.027570810576547353,0.031069616473607883,861,1,1,1,1
288,12,14,0.29057040575132914,0.084431160698492047,4,0.0044751524650758646,0.0045204849412552144,0.027409873916571591,0.030997192460641188,845,1,1,1,1
289,14,12,0.29057040575132914,0.084431160698492047,4,0.0044751524650758646,0.0045204849412552144,0.027409873916571591,0.030997192460641188,845,1,1,1,1
290,11,15,0.29307846094734608,0.085894984271265074,4,0.0045532880108847974,0.0045935505694398322,0.025966765750909386,0.029196105711996177,787,1,1,1,1
291,15,11,0.29307846094734608,0.085894984271265074,4,0.0045532880108847974,0.0045935505694398322,0.025966765750909386,0.029196105711996177,787,1,1,1,1
292,5,18,0.2939979231060989,0.086434778790699635,4,0.0045785414527178018,0.004617613077547409,0.025651914812037088,0.02893608502040208,780,1,1,1,1
293,18,5,0.2939979231060989,0.086434778790699635,4,0.0045785414527178018,0.004617613077547409,0.025651914812037088,0.02893608502040208,780,1,1,1,1
294,8,17,0.29584515847020543,0.087524357790260965,4,0.0046142162229908003,0.0046513085479027811,0.024634149691775631,0.027662675006497377,742,1,1,1,1
295,17,8,0.29584515847020543,0.087524357790260965,4,0.0046142162229908003,0.0046513085479027811,0.024634149691775631,0.027662675006497377,742,1,1,1,1
296,10,16,0.29721084245353185,0.088334284871938118,4,0.0046508355416154962,0.0046848753686530853,0.02426871462265888,0.027259607124001457,709,1,1,1,1
297,16,10,0.29721084245353185,0.088334284871938118,4,0.0046508355416154962,0.0046848753686530853,0.02426871462265888,0.027259607124001457,709,1,1,1,1
298,6,18,0.29861814158566147,0.089172794484074155,5,0.0047058620240546236,0.0047365435474042159,0.023356007648104027,0.026201621616325794,667,1,1,1,1
299,18,6,0.29861814158566147,0.089172794484074155,5,0.0047058620240546236,0.0047365435474042159,0.023356007648104027,0.026201621616325794,667,1,1,1,1
300,0,19,0.29882787180852188,0.089298096969610385,5,0.0047096421605229708,0.0047401413270732181,0.023355399414170218,0.026199890949153544,663,1,1,1,1
301,19,0,0.29882787180852188,0.089298096969610385,5,0.0047096421605229708,0.0047401413270732181,0.023355399414170218,0.026199890949153544,663,1,1,1,1
302,1,19,0.29924457878848165,0.089547317934295809,3,0.0047161571296770836,0.0047451899822773449,0.023037225841296985,0.025927838663612965,652,1,1,1,1
303,19,1,0.29924457878848165,0.089547317934295809,3,0.0047161571296770836,0.0047451899822773449,0.023037225841296985,0.025927838663612965,652,1,1,1,1
304,2,19,0.30049112918231519,0.090294918717262848,3,0.0047050488276718433,0.0047346983119085362,0.021924531730762607,0.023860480648634507,637,1,1,1,1
305,19,2,0.30049112918231519,0.090294918717262848,3,0.0047050488276718433,0.0047346983119085362,0.021924531730762607,0.023860480648634507,637,1,1,1,1
306,13,14,0.30103386854808173,0.090621390013023759,3,0.0047278120830989059,0.0047555447453671035,0.021603436398599019,0.023794486262721837,607,1,1,1,1
307,14,13,0.30103386854808173,0.090621390013023759,3,0.0047278120830989059,0.0047555447453671035,0.021603436398599019,0.023794486262721837,607,1,1,1,1
308,3,19,0.30255695827517037,0.091540713000723181,1,0.0047625986091228275,0.0047857076609278196,0.02122463390192865,0.023794834845411457,572,1,1,1,1
309,19,3,0.30255695827517037,0.091540713000723181,1,0.0047625986091228275,0.0047857076609278196,0.02122463390192865,0.023794834845411457,572,1,1,1,1
310,12,15,0.30264779715293694,0.09159568912152527,1,0.0047669578667010534,0.00478992268474815,0.021224239417353179,0.023794278326221024,559,1,1,1,1
311,15,12,0.30264779715293694,0.09159568912152527,1,0.0047669578667010534,0.00478992268474815,0.021224239417353179,0.023794278326221024,559,1,1,1,1
312,9,17,0.30290007358147386,0.091748454575662275,1,0.0047549382493305972,0.0047778973287355237,0.021223226856186696,0.023792881720743057,553,1,1,1,1
313,17,9,0.30290007358147386,0.091748454575662275,1,0.0047549382493305972,0.0047778973287355237,0.021223226856186696,0.023792881720743057,553,1,1,1,1
314,7,18,0.30398522617474422,0.092407017732510394,1,0.0047407806016678726,0.0047636792426564668,0.020320498481185535,0.022522037382435613,526,1,1,1,1
315,18,7,0.30398522617474422,0.092407017732510394,1,0.0047407806016678726,0.0047636792426564668,0.020320498481185535,0.022522037382435613,526,1,1,1,1
316,4,19,0.30542493399626636,0.093284390306623666,1,0.0047648170592662527,0.0047844847028766574,0.019357015427737011,0.021520005761239556,472,1,1,1,1
317,19,4,0.30542493399626636,0.093284390306623666,1,0.0047648170592662527,0.0047844847028766574,0.019357015427737011,0.021520005761239556,472,1,1,1,1
318,11,16,0.30584970904476044,0.093544044522764616,1,0.0047682717596898355,0.0047878212680709312,0.019248336130934754,0.021455252973534115,446,1,1,1,1
319,16,11,0.30584970904476044,0.093544044522764616,1,0.0047682717596898355,0.0047878212680709312,0.019248336130934754,0.021455252973534115,446,1,1,1,1
