block_id,iK,idF,K,F,F_hopf,dF_offset,ok,label,meanV,stdV,tstd,maxV,area_frac,npeaks,seconds
0,0,8,0.006,1.865671889046162e-05,0.0005546567188904616,-0.000536,1,7,8.261781119537332e-53,6.226046805602029e-56,1.226030503486293e-45,8.274225350686248e-53,0,0,10.1249
0,0,9,0.006,5.165671889046167e-05,0.0005546567188904616,-0.000503,1,7,4.928877361347134e-53,3.745438347526205e-56,8.071570971980488e-46,4.936363517199681e-53,0,0,10.073
0,0,10,0.006,8.46567188904616e-05,0.0005546567188904616,-0.00047,1,7,2.965013520265226e-53,2.272732231489191e-56,5.35827180609551e-46,2.969556125351145e-53,0,0,10.1584
0,0,11,0.006,0.0001176567188904616,0.0005546567188904616,-0.000437,1,7,1.800773884831091e-53,1.39294976110107e-56,3.591292236252594e-46,1.80355803487113e-53,0,0,10.1304
0,0,12,0.006,0.0001506567188904616,0.0005546567188904616,-0.000404,1,7,1.105940128438908e-53,8.637721561211131e-57,2.43400875353997e-46,1.107666589625e-53,0,0,10.1521
0,0,13,0.006,0.0001836567188904616,0.0005546567188904616,-0.000371,1,7,6.882023691072348e-54,5.430979623892932e-57,1.671517987196646e-46,6.892878849967011e-54,0,0,10.1685
0,0,14,0.006,0.0002166567188904617,0.0005546567188904616,-0.000338,1,7,4.350573976794217e-54,3.472155200800046e-57,1.166141352627887e-46,4.357513944996737e-54,0,0,10.1496
0,0,15,0.006,0.0002496567188904616,0.0005546567188904616,-0.000305,1,7,2.803732409702323e-54,2.265742069791505e-57,8.293852049502083e-47,2.808261063213634e-54,0,0,10.1786
0,0,16,0.006,0.0002826567188904616,0.0005546567188904616,-0.000272,1,7,1.850869333470954e-54,1.517068228391703e-57,6.042488921469398e-47,1.853901575973799e-54,0,0,10.0887
0,0,17,0.006,0.0003156567188904617,0.0005546567188904616,-0.000239,1,7,1.260294197936995e-54,1.050303917234138e-57,4.540855480097319e-47,1.262393494986664e-54,0,0,10.139
0,0,18,0.006,0.0003486567188904616,0.0005546567188904616,-0.000206,1,7,8.94537838199889e-55,7.607944086948213e-58,3.557093818964945e-47,8.960584774570808e-55,0,0,10.13
0,0,19,0.006,0.0003816567188904617,0.0005546567188904616,-0.000173,1,7,6.733670073485974e-55,5.880263766441056e-58,2.955183701552203e-47,6.745423258206694e-55,0,0,10.2038
0,0,20,0.006,0.0004146567188904616,0.0005546567188904616,-0.00014,1,7,5.547960927878694e-55,5.030825422614099e-58,2.687244821297523e-47,5.558016294588354e-55,0,0,10.1461
0,0,21,0.006,0.0004476567188904616,0.0005546567188904616,-0.000107,1,7,5.3594212874302e-55,5.174068941460119e-58,2.865088485574082e-47,5.369762984950959e-55,0,0,10.1861
0,0,22,0.006,0.0004806567188904617,0.0005546567188904616,-7.399999999999996e-05,1,7,7.507404168768252e-55,8.365733588090621e-58,4.429567408127648e-47,7.524125664179116e-55,0,0,10.151
0,0,23,0.006,0.0005136567188904616,0.0005546567188904616,-4.100000000000002e-05,1,3,0.1430218600099348,0.03227425426930525,0.04272933029283819,0.2047293409411471,0.9816,22,10.1451
0,0,24,0.006,0.0005466567188904617,0.0005546567188904616,-7.999999999999978e-06,1,0,0.07214829386968677,1.590495879849271e-08,0.02365820344181475,0.07214832566816586,0,0,10.1718
0,0,25,0.006,0.0005796567188904617,0.0005546567188904616,2.500000000000007e-05,1,2,0.08080860907060447,5.323267813876023e-09,0.0002230934072350848,0.0808086197117121,1,2,10.1215
0,0,26,0.006,0.0006126567188904616,0.0005546567188904616,5.8e-05,1,2,0.08548188355639635,4.830401630289176e-13,3.505590186537263e-07,0.08548188355736205,1,0,10.1515
0,0,27,0.006,0.0006456567188904617,0.0005546567188904616,9.100000000000004e-05,1,2,0.08997905669099585,1.526354761544364e-15,3.923442893388849e-10,0.08997905669099895,1,14,10.2264
0,0,28,0.006,0.0006786567188904617,0.0005546567188904616,0.0001240000000000001,1,2,0.09442878223337277,2.178149633290495e-17,3.931548549127205e-13,0.09442878223337282,1,7742,10.1636
0,0,29,0.006,0.0007116567188904617,0.0005546567188904616,0.000157,1,2,0.09883229408209632,7.222638634574654e-17,2.741776697754611e-17,0.0988322940820964,1,7390,10.1711
