K,F,F_Hopf,DeltaF_Ffront_minus_FHopf,iK
0.006,0.0005631567188904617,0.0005546567188904616,8.500000000000044e-06,0
0.006075714285714286,0.0005744140344809397,0.0005659140344809396,8.500000000000044e-06,1
0.006151428571428572,0.000585762243502269,0.000577262243502269,8.500000000000044e-06,2
0.006227142857142857,0.0005972011267885351,0.000588701126788535,8.500000000000044e-06,3
0.006302857142857143,0.0006087304714337742,0.0006002304714337742,8.500000000000044e-06,4
0.006378571428571429,0.0006203500706109726,0.0006118500706109725,8.500000000000044e-06,5
0.006454285714285714,0.0006320597233985799,0.0006235597233985798,8.500000000000044e-06,6
0.00653,0.0006438592346143994,0.0006353592346143994,8.500000000000044e-06,7
0.006605714285714286,0.0006557484146563887,0.0006472484146563887,8.500000000000044e-06,8
0.006681428571428572,0.0006677270793498237,0.0006592270793498237,8.500000000000044e-06,9
0.006757142857142857,0.0006797950498008186,0.0006712950498008186,8.500000000000044e-06,10
0.006832857142857143,0.000691952152255612,0.000683452152255612,8.500000000000044e-06,11
0.006908571428571429,0.0007041982179654667,0.0006956982179654667,8.500000000000044e-06,12
0.006984285714285715,0.0007165330830569332,0.0007080330830569331,8.500000000000044e-06,13
0.00706,0.0007289565884069633,0.0007204565884069633,8.500000000000044e-06,14
0.007135714285714286,0.0007414685795231037,0.0007329685795231036,8.500000000000044e-06,15
0.007211428571428572,0.0007540689064279903,0.0007455689064279902,8.500000000000044e-06,16
0.007287142857142857,0.0007667574235483475,0.0007582574235483405,8.500000000006983e-06,17
0.007362857142857143,0.0007795339896080873,0.0007710339896080873,8.500000000000044e-06,18
0.007438571428571429,0.0007923984675253847,0.0007838984675253846,8.500000000000044e-06,19
0.007514285714285715,0.0008053507243134235,0.0007968507243134235,8.500000000000044e-06,20
0.00759,0.0008183906309849594,0.0008098906309849593,8.500000000000044e-06,21
0.007665714285714286,0.0008315180624600181,0.0008230180624600181,8.500000000000044e-06,22
0.007741428571428572,0.0008447328974771613,0.0008362328974771613,8.500000000000044e-06,23
0.007817142857142858,0.0008580350185077008,0.0008495350185077008,8.500000000000044e-06,24
0.007892857142857142,0.0008714243116730149,0.0008629243116730148,8.500000000000044e-06,25
0.007968571428571429,0.0008849006666647159,0.0008764006666647159,8.500000000000044e-06,26
0.008044285714285714,0.0008984639766674558,0.0008899639766674558,8.500000000000044e-06,27
0.00812,0.0009121141382845614,0.0009036141382845614,8.500000000000044e-06,28
0.008195714285714285,0.0009258510514660505,0.0009173510514660504,8.500000000000044e-06,29
0.008271428571428572,0.0009396746194390486,0.0009311746194390486,8.500000000000044e-06,30
0.008347142857142857,0.0009535847486406206,0.0009450847486406205,8.500000000000044e-06,31
0.008422857142857143,0.0009675813486527739,0.0009590813486527738,8.500000000000044e-06,32
0.008498571428571428,0.0009816643321395506,0.0009731643321395506,8.500000000000044e-06,33
0.008574285714285715,0.000995833614786194,0.0009873336147861941,8.499999999999827e-06,34
0.00865,0.0010100891152403282,0.0010015891152403283,8.499999999999827e-06,35
0.008725714285714286,0.0010244307550549541,0.0010159307550549543,8.499999999999827e-06,36
0.008801428571428571,0.0010388584586332721,0.0010303584586332723,8.499999999999827e-06,37
0.008877142857142858,0.0010533721531752595,0.0010448721531752594,8.500000000000044e-06,38
0.008952857142857143,0.00106797176862594,0.00105947176862594,8.500000000000044e-06,39
0.00902857142857143,0.001082657237625231,0.0010741572376252312,8.499999999999827e-06,40
0.009104285714285714,0.001130428495459329,0.0010889284954593292,4.149999999999987e-05,41
0.00918,0.00114528548001365,0.0011037854800136498,4.150000000000009e-05,42
0.009255714285714286,0.001160228131727156,0.0011187281317271563,4.1499999999999653e-05,43
0.009331428571428572,0.001175256393548034,0.001133756393548034,4.149999999999987e-05,44
0.009407142857142857,0.00119037021089085,0.0011488702108908497,4.1500000000000304e-05,45
0.009482857142857144,0.001205569531594751,0.001164069531594751,4.149999999999987e-05,46
0.009558571428571428,0.0012208543058831733,0.0011793543058831735,4.149999999999987e-05,47
0.009634285714285713,0.0012362244863245511,0.0011947244863245512,4.149999999999987e-05,48
0.00971,0.001251680027794237,0.0012101800277942373,4.1499999999999653e-05,49
0.009785714285714286,0.001267220887437574,0.0012257208874375744,4.1499999999999653e-05,50
0.009861428571428571,0.001282847024634007,0.001241347024634007,4.150000000000009e-05,51
0.009937142857142856,0.0012985584009621853,0.0012570584009621855,4.149999999999987e-05,52
0.01001285714285714,0.001314354980166195,0.0012728549801661881,4.150000000000681e-05,53
0.01008857142857143,0.0013302367281225955,0.0012887367281225956,4.149999999999987e-05,54
0.01016428571428571,0.001346203612808537,0.0013047036128085443,4.1499999999992715e-05,55
0.01024,0.001362255604270689,0.0013207556042706889,4.150000000000009e-05,56
0.01031571428571429,0.00137839267459506,0.0013368926745950666,4.1499999999993365e-05,57
0.01039142857142857,0.0013946147978777454,0.0013531147978777455,4.149999999999987e-05,58
0.01046714285714286,0.0014109219501963269,0.001369421950196334,4.149999999999293e-05,59
0.01054285714285714,0.001427314109582245,0.001385814109582252,4.149999999999293e-05,60
0.01061857142857143,0.0014437912559938024,0.0014022912559938094,4.149999999999293e-05,61
0.01069428571428572,0.0014603533712899963,0.0014188533712900034,4.149999999999293e-05,62
0.01077,0.001477000439204991,0.001435500439204991,4.149999999999987e-05,63
0.01084571428571428,0.001493732445323394,0.001452232445323394,4.150000000000009e-05,64
0.01092142857142857,0.001510549377056081,0.001469049377056074,4.1500000000007026e-05,65
0.01099714285714286,0.001527451223616777,0.001485951223616784,4.149999999999293e-05,66
0.01107285714285714,0.001544437975999222,0.0015029379759992217,4.1500000000000304e-05,67
0.01114857142857143,0.0015615096269549489,0.001520009626954956,4.149999999999293e-05,68
0.01122428571428571,0.0015786661709717084,0.0015371661709717016,4.150000000000681e-05,69
0.0113,0.001595907604252357,0.0015544076042523641,4.149999999999293e-05,70
0.01137571428571429,0.0016132339246944793,0.0015717339246944795,4.149999999999987e-05,71
0.01145142857142857,0.001630645131870397,0.0015891451318703967,4.1500000000000304e-05,72
0.01152714285714286,0.0016481412270078,0.0016066412270078004,4.1499999999999653e-05,73
0.01160285714285714,0.001665722212970837,0.001624222212970837,4.150000000000009e-05,74
0.01167857142857143,0.001683388094241747,0.0016418880942417544,4.1499999999992715e-05,75
0.01175428571428571,0.001701138876902986,0.0016596388769029788,4.150000000000724e-05,76
0.01183,0.001718974568619705,0.0016774745686197051,4.149999999999987e-05,77
0.01190571428571429,0.001736895178622917,0.0016953951786229174,4.1499999999999653e-05,78
0.01198142857142857,0.00175490071769286,0.0017134007176928534,4.150000000000659e-05,79
0.01205714285714286,0.001772991198142941,0.0017314911981429412,4.149999999999987e-05,80
0.01213285714285714,0.001791166633804069,0.0017496666338040756,4.1499999999993365e-05,81
0.01220857142857143,0.001809427040009429,0.0017679270400094288,4.1500000000000304e-05,82
0.01228428571428571,0.001827772433579539,0.0017862724335795319,4.150000000000724e-05,83
0.01236,0.001846202832807856,0.0018047028328078557,4.1500000000000304e-05,84
0.01243571428571429,0.001864718257446607,0.001823218257446614,4.149999999999293e-05,85
0.01251142857142857,0.0018833187286931563,0.0018418187286931634,4.149999999999293e-05,86
0.01258714285714286,0.001902004269176555,0.001860504269176562,4.149999999999315e-05,87
0.01266285714285714,0.001920774902944553,0.0018792749029445457,4.150000000000724e-05,88
0.01273857142857143,0.001939630655450907,0.0018981306554509136,4.1499999999993365e-05,89
0.01281428571428572,0.001958571553543072,0.001917071553543065,4.150000000000724e-05,90
0.01289,0.001977597625450113,0.001936097625450113,4.149999999999987e-05,91
0.01296571428571429,0.001996708900771062,0.001955208900771062,4.1500000000000304e-05,92
0.01304142857142857,0.0020159054104634602,0.0019744054104634673,4.149999999999293e-05,93
0.01311714285714286,0.002035187186832321,0.0019936871868323144,4.1500000000006376e-05,94
0.01319285714285714,0.00205455426351922,0.0020130542635192275,4.14999999999925e-05,95
0.01326857142857143,0.0020740066754919018,0.002032506675491895,4.150000000000681e-05,96
0.01334428571428571,0.002093544459033911,0.002052044459033904,4.150000000000681e-05,97
0.01342,0.0021131676517347,0.0020716676517347,4.149999999999987e-05,98
0.01349571428571428,0.0021328762924799002,0.0020913762924798934,4.150000000000681e-05,99
0.01357142857142857,0.002152670421441849,0.002111170421441856,4.149999999999293e-05,100
0.01364714285714286,0.002172550080070446,0.0021310500800704457,4.1500000000000304e-05,101
0.01372285714285714,0.00219251531108413,0.002151015311084137,4.1499999999993365e-05,102
0.01379857142857143,0.002212566158461271,0.0021710661584612642,4.150000000000681e-05,103
0.01387428571428571,0.002232702667431585,0.0021912026674315854,4.149999999999944e-05,104
0.01395,0.002252924884468023,0.002211424884468023,4.149999999999987e-05,105
0.01402571428571429,0.00227323285727863,0.0022317328572786232,4.150000000000681e-05,106
0.01410142857142857,0.00229362663479888,0.0022521266347988803,4.149999999999987e-05,107
0.01417714285714286,0.002314106267184007,0.0022726062671840075,4.149999999999944e-05,108
0.01425285714285714,0.002334671805801672,0.002293171805801672,4.149999999999987e-05,109
0.01432857142857143,0.00235532330322482,0.00231382330322482,4.1500000000000304e-05,110
0.01440428571428571,0.002376060813224709,0.002334560813224716,4.149999999999293e-05,111
0.01448,0.002396884390764173,0.002355384390764173,4.149999999999987e-05,112
0.01455571428571429,0.002417794091991041,0.002376294091991041,4.1500000000000304e-05,113
0.01463142857142857,0.002438789974231775,0.0023972899742317755,4.149999999999944e-05,114
0.01470714285714286,0.002459872095985284,0.002418372095985284,4.149999999999987e-05,115
0.01478285714285714,0.00248104051691693,0.00243954051691693,4.1500000000000304e-05,116
0.01485857142857143,0.002502295297852716,0.0024607952978527164,4.149999999999944e-05,117
0.01493428571428571,0.002523636500773599,0.002482136500773599,4.149999999999987e-05,118
0.01501,0.002545064188810051,0.0025035641888100507,4.1500000000000304e-05,119
0.01508571428571429,0.002566578426236754,0.0025250784262367543,4.149999999999987e-05,120
0.01516142857142857,0.002588179278467433,0.002546679278467426,4.150000000000724e-05,121
0.01523714285714286,0.002609866812049881,0.002568366812049888,4.149999999999293e-05,122
0.01531285714285714,0.0026316410946612065,0.0025901410946611997,4.150000000000681e-05,123
0.01538857142857143,0.00265350219510304,0.002612002195103047,4.149999999999293e-05,124
0.01546428571428572,0.002675450183297179,0.002633950183297186,4.149999999999293e-05,125
0.01554,0.002697485130281112,0.002655985130281112,4.1500000000000304e-05,126
