mode_index,m,n,q,q2,branch_id,root_id,kind_id,source_id_0lambda_1trace,n_contour_segments,Z_min,Z_max,Z_span,zero_fraction_absZ_le_tol,skipped_flag
199,8,13,0.24062600087699448,0.05790087229805535,1,1,1,0,1,-0.20130150658517484,0.11776479545046639,0.31906630203564124,0,0
199,8,13,0.24062600087699448,0.05790087229805535,1,1,3,1,1,-1.0137627826190418,0.069993653926371094,1.0837564365454129,0,0
199,8,13,0.24062600087699448,0.05790087229805535,1,-1,1,0,4,-1.0090646170293045,0.0051955595697366101,1.0142601765990411,0,0
199,8,13,0.24062600087699448,0.05790087229805535,1,-1,3,1,1,-1.0137627826190418,0.069993653926371094,1.0837564365454129,0,0
199,8,13,0.24062600087699448,0.05790087229805535,-1,1,1,0,1,-0.0045787008712360232,0.11776479545046639,0.12234349632170241,0,0
199,8,13,0.24062600087699448,0.05790087229805535,-1,1,3,1,1,-0.055765162013443594,0.069993653926371094,0.12575881593981469,0,0
199,8,13,0.24062600087699448,0.05790087229805535,-1,-1,1,0,0,-0.10957019493552811,-0.0092641395676888519,0.10030605536783926,0,2
199,8,13,0.24062600087699448,0.05790087229805535,-1,-1,3,1,1,-0.055765162013443594,0.069993653926371094,0.12575881593981469,0,0
200,13,8,0.24062600087699448,0.05790087229805535,1,1,1,0,1,-0.20130150658517484,0.11776479545046639,0.31906630203564124,0,0
200,13,8,0.24062600087699448,0.05790087229805535,1,1,3,1,1,-1.0137627826190418,0.069993653926371094,1.0837564365454129,0,0
200,13,8,0.24062600087699448,0.05790087229805535,1,-1,1,0,4,-1.0090646170293045,0.0051955595697366101,1.0142601765990411,0,0
200,13,8,0.24062600087699448,0.05790087229805535,1,-1,3,1,1,-1.0137627826190418,0.069993653926371094,1.0837564365454129,0,0
200,13,8,0.24062600087699448,0.05790087229805535,-1,1,1,0,1,-0.0045787008712360232,0.11776479545046639,0.12234349632170241,0,0
200,13,8,0.24062600087699448,0.05790087229805535,-1,1,3,1,1,-0.055765162013443594,0.069993653926371094,0.12575881593981469,0,0
200,13,8,0.24062600087699448,0.05790087229805535,-1,-1,1,0,0,-0.10957019493552811,-0.0092641395676888519,0.10030605536783926,0,2
200,13,8,0.24062600087699448,0.05790087229805535,-1,-1,3,1,1,-0.055765162013443594,0.069993653926371094,0.12575881593981469,0,0
201,3,15,0.24095008815644542,0.058056944982598821,1,1,1,0,1,-0.20132023530732004,0.11775171907200482,0.3190719543793249,0,0
201,3,15,0.24095008815644542,0.058056944982598821,1,1,3,1,1,-1.0138002400633324,0.069956196482080651,1.0837564365454131,0,0
201,3,15,0.24095008815644542,0.058056944982598821,1,-1,1,0,5,-1.0090895903098049,0.0051682431677309397,1.0142578334775358,0,0
201,3,15,0.24095008815644542,0.058056944982598821,1,-1,3,1,1,-1.0138002400633324,0.069956196482080651,1.0837564365454131,0,0
201,3,15,0.24095008815644542,0.058056944982598821,-1,1,1,0,1,-0.0045911866859994982,0.11775171907200482,0.12234290575800433,0,0
201,3,15,0.24095008815644542,0.058056944982598821,-1,1,3,1,1,-0.055802619457734029,0.069956196482080651,0.12575881593981469,0,0
201,3,15,0.24095008815644542,0.058056944982598821,-1,-1,1,0,0,-0.10959597032836259,-0.0092891111972158054,0.10030685913114679,0,2
201,3,15,0.24095008815644542,0.058056944982598821,-1,-1,3,1,1,-0.055802619457734029,0.069956196482080651,0.12575881593981469,0,0
202,15,3,0.24095008815644542,0.058056944982598821,1,1,1,0,1,-0.20132023530732004,0.11775171907200482,0.3190719543793249,0,0
202,15,3,0.24095008815644542,0.058056944982598821,1,1,3,1,1,-1.0138002400633324,0.069956196482080651,1.0837564365454131,0,0
202,15,3,0.24095008815644542,0.058056944982598821,1,-1,1,0,5,-1.0090895903098049,0.0051682431677309397,1.0142578334775358,0,0
202,15,3,0.24095008815644542,0.058056944982598821,1,-1,3,1,1,-1.0138002400633324,0.069956196482080651,1.0837564365454131,0,0
202,15,3,0.24095008815644542,0.058056944982598821,-1,1,1,0,1,-0.0045911866859994982,0.11775171907200482,0.12234290575800433,0,0
202,15,3,0.24095008815644542,0.058056944982598821,-1,1,3,1,1,-0.055802619457734029,0.069956196482080651,0.12575881593981469,0,0
202,15,3,0.24095008815644542,0.058056944982598821,-1,-1,1,0,0,-0.10959597032836259,-0.0092891111972158054,0.10030685913114679,0,2
202,15,3,0.24095008815644542,0.058056944982598821,-1,-1,3,1,1,-0.055802619457734029,0.069956196482080651,0.12575881593981469,0,0
203,4,15,0.24454165757289556,0.059800622288499306,1,1,1,0,1,-0.20121408373665034,0.11760566386203483,0.31881974759868514,0,0
203,4,15,0.24454165757289556,0.059800622288499306,1,1,3,1,1,-1.0142187226167485,0.069537713928664535,1.0837564365454131,0,0
203,4,15,0.24454165757289556,0.059800622288499306,1,-1,1,0,3,-1.0093685971209849,0.0048956808265195866,1.0142642779475044,0,0
203,4,15,0.24454165757289556,0.059800622288499306,1,-1,3,1,1,-1.0142187226167485,0.069537713928664535,1.0837564365454131,0,0
203,4,15,0.24454165757289556,0.059800622288499306,-1,1,1,0,1,-0.0047306808704715396,0.11760566386203483,0.12233634473250637,0,0
203,4,15,0.24454165757289556,0.059800622288499306,-1,1,3,1,1,-0.056221102011150145,0.069537713928664535,0.12575881593981469,0,0
203,4,15,0.24454165757289556,0.059800622288499306,-1,-1,1,0,0,-0.10988393097470921,-0.0095680995661598829,0.10031583140854933,0,2
203,4,15,0.24454165757289556,0.059800622288499306,-1,-1,3,1,1,-0.056221102011150145,0.069537713928664535,0.12575881593981469,0,0
204,15,4,0.24454165757289556,0.059800622288499306,1,1,1,0,1,-0.20121408373665034,0.11760566386203483,0.31881974759868514,0,0
204,15,4,0.24454165757289556,0.059800622288499306,1,1,3,1,1,-1.0142187226167485,0.069537713928664535,1.0837564365454131,0,0
204,15,4,0.24454165757289556,0.059800622288499306,1,-1,1,0,3,-1.0093685971209849,0.0048956808265195866,1.0142642779475044,0,0
204,15,4,0.24454165757289556,0.059800622288499306,1,-1,3,1,1,-1.0142187226167485,0.069537713928664535,1.0837564365454131,0,0
204,15,4,0.24454165757289556,0.059800622288499306,-1,1,1,0,1,-0.0047306808704715396,0.11760566386203483,0.12233634473250637,0,0
204,15,4,0.24454165757289556,0.059800622288499306,-1,1,3,1,1,-0.056221102011150145,0.069537713928664535,0.12575881593981469,0,0
204,15,4,0.24454165757289556,0.059800622288499306,-1,-1,1,0,0,-0.10988393097470921,-0.0095680995661598829,0.10031583140854933,0,2
204,15,4,0.24454165757289556,0.059800622288499306,-1,-1,3,1,1,-0.056221102011150145,0.069537713928664535,0.12575881593981469,0,0
205,11,11,0.24527802722534706,0.060161310639558097,1,1,1,0,1,-0.20125736633877739,0.11757546005818476,0.31883282639696214,0,0
205,11,11,0.24527802722534706,0.060161310639558097,1,1,3,1,1,-1.0143052878210026,0.069451148724410439,1.0837564365454131,0,0
205,11,11,0.24527802722534706,0.060161310639558097,1,-1,1,0,3,-1.0094263110713837,0.0048445145124744217,1.0142708255838582,0,0
205,11,11,0.24527802722534706,0.060161310639558097,1,-1,3,1,1,-1.0143052878210026,0.069451148724410439,1.0837564365454131,0,0
205,11,11,0.24527802722534706,0.060161310639558097,-1,1,1,0,1,-0.0047595359385562402,0.11757546005818476,0.122334995996741,0,0
205,11,11,0.24527802722534706,0.060161310639558097,-1,1,3,1,1,-0.056307667215404256,0.069451148724410439,0.12575881593981469,0,0
205,11,11,0.24527802722534706,0.060161310639558097,-1,-1,1,0,0,-0.10994349534592476,-0.009625809702329291,0.10031768564359547,0,2
205,11,11,0.24527802722534706,0.060161310639558097,-1,-1,3,1,1,-0.056307667215404256,0.069451148724410439,0.12575881593981469,0,0
