mode_index,m,n,q,q2,n_valid_segments,best_mean_abs_DeltaF,best_rms_DeltaF,best_K_span,best_F_span,best_n_points,best_branch_id,best_root_id,best_kind_id,best_curve_id
199,8,13,0.24062600087699448,0.05790087229805535,4,0.0030403288803947572,0.0031510235214614866,0.042999478739922554,0.050409360653984651,1457,1,1,1,1
200,13,8,0.24062600087699448,0.05790087229805535,4,0.0030403288803947572,0.0031510235214614866,0.042999478739922554,0.050409360653984651,1457,1,1,1,1
201,3,15,0.24095008815644542,0.058056944982598821,4,0.0030525724380408821,0.0031628899679905058,0.042732232771005754,0.050346851354142852,1459,1,1,1,1
202,15,3,0.24095008815644542,0.058056944982598821,4,0.0030525724380408821,0.0031628899679905058,0.042732232771005754,0.050346851354142852,1459,1,1,1,1
203,4,15,0.24454165757289556,0.059800622288499306,4,0.003149338467383949,0.0032558018079792551,0.04209025662015338,0.049144818077749633,1425,1,1,1,1
204,15,4,0.24454165757289556,0.059800622288499306,4,0.003149338467383949,0.0032558018079792551,0.04209025662015338,0.049144818077749633,1425,1,1,1,1
205,11,11,0.24527802722534706,0.060161310639558097,4,0.0031678237617128132,0.0032737183910628502,0.041822616587724321,0.0490784464817196,1417,1,1,1,1
206,10,12,0.24627678704862097,0.060652255838991795,4,0.0032002254629886653,0.0033045042291235437,0.041505333011897738,0.048543357713522743,1399,1,1,1,1
207,12,10,0.24627678704862097,0.060652255838991795,4,0.0032002254629886653,0.0033045042291235437,0.041505333011897738,0.048543357713522743,1399,1,1,1,1
208,7,14,0.24667683023477741,0.060849458574677197,4,0.0032099292633990229,0.0033142881983528449,0.041504768051493154,0.048542451993279508,1399,1,1,1,1
209,14,7,0.24667683023477741,0.060849458574677197,4,0.0032099292633990229,0.0033142881983528449,0.041504768051493154,0.048542451993279508,1399,1,1,1,1
210,5,15,0.249081809965922,0.062041748055899675,4,0.0032801508021531424,0.0033816302047012755,0.040861478733090088,0.047469622598431876,1389,1,1,1,1
211,15,5,0.249081809965922,0.062041748055899675,4,0.0032801508021531424,0.0033816302047012755,0.040861478733090088,0.047469622598431876,1389,1,1,1,1
212,9,13,0.24924880959285775,0.062124969083456653,4,0.0032847533564300722,0.003386253793581121,0.040861291980046822,0.047469436525965462,1386,1,1,1,1
213,13,9,0.24924880959285775,0.062124969083456653,4,0.0032847533564300722,0.003386253793581121,0.040861291980046822,0.047469436525965462,1386,1,1,1,1
214,0,16,0.25191941013543512,0.063463389202985568,4,0.0033569245273880628,0.0034554066444452565,0.04011551902219665,0.046883533624995644,1350,1,1,1,1
215,16,0,0.25191941013543512,0.063463389202985568,4,0.0033569245273880628,0.0034554066444452565,0.04011551902219665,0.046883533624995644,1350,1,1,1,1
216,1,16,0.25241356969796808,0.063712610167670991,4,0.003366301654942097,0.0034651670768440453,0.040064587809823367,0.046480930985312092,1352,1,1,1,1
217,16,1,0.25241356969796808,0.063712610167670991,4,0.003366301654942097,0.0034651670768440453,0.040064587809823367,0.046480930985312092,1352,1,1,1,1
218,2,16,0.25389015528499331,0.064460210950638031,4,0.0034081470532269734,0.0035045642493270008,0.039743070660448479,0.046005014807130727,1326,1,1,1,1
219,16,2,0.25389015528499331,0.064460210950638031,4,0.0034081470532269734,0.0035045642493270008,0.039743070660448479,0.046005014807130727,1326,1,1,1,1
220,8,14,0.25412414946623468,0.064579083341937182,4,0.0034119811122917446,0.0035085846468525662,0.039742714900665312,0.046004618595585224,1322,1,1,1,1
221,14,8,0.25412414946623468,0.064579083341937182,4,0.0034119811122917446,0.0035085846468525662,0.039742714900665312,0.046004618595585224,1322,1,1,1,1
222,6,15,0.25451869037317121,0.064779763749274188,4,0.0034253155858127594,0.0035216110816194764,0.039528672785656013,0.045946407642724771,1322,1,1,1,1
223,15,6,0.25451869037317121,0.064779763749274188,4,0.0034253155858127594,0.0035216110816194764,0.039528672785656013,0.045946407642724771,1322,1,1,1,1
224,3,16,0.25633182641665542,0.065706005234098364,4,0.0034799995414826353,0.0035736321889602326,0.038945271836897923,0.045075103104254943,1313,1,1,1,1
225,16,3,0.25633182641665542,0.065706005234098364,4,0.0034799995414826353,0.0035736321889602326,0.038945271836897923,0.045075103104254943,1313,1,1,1,1
226,11,12,0.25663595907397369,0.065862015489818293,4,0.0034864496764918183,0.0035799292223327559,0.038944645829434035,0.045074217637819006,1308,1,1,1,1
227,12,11,0.25663595907397369,0.065862015489818293,4,0.0034864496764918183,0.0035799292223327559,0.038944645829434035,0.045074217637819006,1308,1,1,1,1
228,10,13,0.2585391365993232,0.066842485153523507,4,0.0035455855076921431,0.003636213074923309,0.038353106540602908,0.044200839791877479,1277,1,1,1,1
229,13,10,0.2585391365993232,0.066842485153523507,4,0.0035455855076921431,0.003636213074923309,0.038353106540602908,0.044200839791877479,1277,1,1,1,1
230,4,16,0.2597107670852305,0.067449682539998848,4,0.003566028597450021,0.0036570756337068223,0.038138166017889608,0.04413598569810475,1268,1,1,1,1
231,16,4,0.2597107670852305,0.067449682539998848,4,0.003566028597450021,0.0036570756337068223,0.038138166017889608,0.04413598569810475,1268,1,1,1,1
232,7,15,0.26079491367300561,0.068013986997710441,4,0.003607517407462135,0.0036960470779717342,0.037871688308904854,0.043737285017939838,1253,1,1,1,1
233,15,7,0.26079491367300561,0.068013986997710441,4,0.003607517407462135,0.0036960470779717342,0.037871688308904854,0.043737285017939838,1253,1,1,1,1
