mode_index,m,n,q,q2,branch_id,root_id,kind_id,source_id_0lambda_1trace,curve_id,hopf_branch_id,is_success,n_points,K_min,K_max,K_span,F_intersection_min,F_intersection_max,F_intersection_span,mean_DeltaF,std_DeltaF,mean_abs_DeltaF,median_abs_DeltaF,p95_abs_DeltaF,rms_DeltaF,max_abs_DeltaF,K_at_max_abs_DeltaF,F_intersection_at_max_abs_DeltaF,F_Hopf_at_max_abs_DeltaF,DeltaF_at_max_abs_DeltaF,touch_Kmin,touch_Kmax,touch_Fmin,touch_Fmax,edge_fraction,complex_fraction,det_min,det_max,mean_abs_imag_lambda,min_abs_imag_lambda,rad_real_max
199,8,13,0.24062600087699448,0.05790087229805535,1,1,1,0,1,-1,1,1457,0.018999332888592395,0.061998811628514949,0.042999478739922554,0.0024925739690974053,0.052901934623082056,0.050409360653984651,0.0030403288803947572,0.00082785840083984547,0.0030403288803947572,0.0030524905038587721,0.0042640785499996597,0.0031510235214614866,0.0042912470785293408,0.059773182121414276,0.040023000888625954,0.044314247967155294,0.0042912470785293408,0,0,0,0,0,0.54804804804804808,-4.0373522132340593e-05,0.00066015264612888987,0.0094011717578542948,0,0.0035015502446754036
199,8,13,0.24062600087699448,0.05790087229805535,1,1,3,1,1,-1,1,1271,0.022788525683789196,0.060184119157006846,0.03739559347321765,0.0034232385246118356,0.041427618412274846,0.03800437988766301,0.003081278672212401,0.00079217621793407943,0.003081278672212401,0.0030653230008911223,0.0042761976937360224,0.0031814810098586724,0.0042912470785293408,0.059773182121414276,0.040023000888625954,0.044314247967155294,0.0042912470785293408,0,0,0,0,0,0.89447990987607962,-0.0075387554709185744,0.00066015264612888987,0.036245885392085855,0,0.023981828459675149
199,8,13,0.24062600087699448,0.05790087229805535,1,-1,1,0,1,-1,0,9,0.023273631421275465,0.023437139688991658,0.00016350826771619267,0.003598247795423943,0.0036604996028118913,6.2251807387948312e-05,0.0018072396244640065,2.6106238898393269e-05,0.0018072396244640065,0.001802600223435747,0.0018492459561625541,0.0018074281717241831,0.0018495343295407674,0.02342895263509006,0.003598247795423943,0.0054477821249647104,0.0018495343295407674,0,0,0,0,0,1,2.493905487860234e-07,1.213183811499064e-05,0.0023422000646863826,0.00045162329479910376,-8.1585440162079274e-07
199,8,13,0.24062600087699448,0.05790087229805535,1,-1,1,0,2,-1,1,1379,0.023451795425522278,0.059777052232099143,0.036325256806576861,0.0036636857988458426,0.040023000888625954,0.03635931508978011,0.0031626256214190795,0.00089715703604607703,0.0031626256214190795,0.0031047283553222657,0.0047005117863776957,0.0032874141157729735,0.005423793292318041,0.05729998531446881,0.03228819212808539,0.037711985420403431,0.005423793292318041,0,0,0,0,0,0.56216877293110479,-1.3441166360064947e-05,0.00066015264612888987,0.010021839376853784,0,0.00012336100726497199
199,8,13,0.24062600087699448,0.05790087229805535,1,-1,1,0,3,-1,0,9,0.059774277522950649,0.059829254126127461,5.49766031768123e-05,0.040014741689767194,0.040197092235003201,0.00018235054523600691,0.0043680993744724707,8.101363560319149e-05,0.0043680993744724707,0.0043335488363299354,0.0044732032630218077,0.0043688505758861145,0.0044732032630218077,0.059826551034022679,0.040014741689767194,0.044487944952789002,0.0044732032630218077,0,0,0,0,0,1,1.7509521752224065e-05,0.00010031675094166803,0.0074075345078263178,0.0041626124032584704,-6.9309368079045023e-05
199,8,13,0.24062600087699448,0.05790087229805535,1,-1,1,0,4,-1,0,9,0.059835280868103455,0.059882175939390735,4.6895071287279821e-05,0.04021868144394744,0.040373202429999672,0.00015452098605223119,0.0043525305212327395,6.9957730213792151e-05,0.0043525305212327395,0.0043049027784272387,0.0044448522839876659,0.0043530926962654041,0.0044448522839876659,0.05987991994663109,0.04021868144394744,0.044663533727935106,0.0044448522839876659,0,0,0,0,0,1,1.5598004916093583e-05,8.7231572564112434e-05,0.0069915749095309414,0.0039328302701286824,-6.1868615734561792e-05
199,8,13,0.24062600087699448,0.05790087229805535,1,-1,3,1,1,-1,1,1271,0.022788525683789196,0.060184119157006846,0.03739559347321765,0.0034232385246118356,0.041427618412274846,0.03800437988766301,0.003081278672212401,0.00079217621793407943,0.003081278672212401,0.0030653230008911223,0.0042761976937360224,0.0031814810098586724,0.0042912470785293408,0.059773182121414276,0.040023000888625954,0.044314247967155294,0.0042912470785293408,0,0,0,0,0,0.89447990987607962,-0.0075387554709185744,0.00066015264612888987,0.018710651173125092,0,0.023981828459675149
200,13,8,0.24062600087699448,0.05790087229805535,1,1,1,0,1,-1,1,1457,0.018999332888592395,0.061998811628514949,0.042999478739922554,0.0024925739690974053,0.052901934623082056,0.050409360653984651,0.0030403288803947572,0.00082785840083984547,0.0030403288803947572,0.0030524905038587721,0.0042640785499996597,0.0031510235214614866,0.0042912470785293408,0.059773182121414276,0.040023000888625954,0.044314247967155294,0.0042912470785293408,0,0,0,0,0,0.54804804804804808,-4.0373522132340593e-05,0.00066015264612888987,0.0094011717578542948,0,0.0035015502446754036
200,13,8,0.24062600087699448,0.05790087229805535,1,1,3,1,1,-1,1,1271,0.022788525683789196,0.060184119157006846,0.03739559347321765,0.0034232385246118356,0.041427618412274846,0.03800437988766301,0.003081278672212401,0.00079217621793407943,0.003081278672212401,0.0030653230008911223,0.0042761976937360224,0.0031814810098586724,0.0042912470785293408,0.059773182121414276,0.040023000888625954,0.044314247967155294,0.0042912470785293408,0,0,0,0,0,0.89447990987607962,-0.0075387554709185744,0.00066015264612888987,0.036245885392085855,0,0.023981828459675149
200,13,8,0.24062600087699448,0.05790087229805535,1,-1,1,0,1,-1,0,9,0.023273631421275465,0.023437139688991658,0.00016350826771619267,0.003598247795423943,0.0036604996028118913,6.2251807387948312e-05,0.0018072396244640065,2.6106238898393269e-05,0.0018072396244640065,0.001802600223435747,0.0018492459561625541,0.0018074281717241831,0.0018495343295407674,0.02342895263509006,0.003598247795423943,0.0054477821249647104,0.0018495343295407674,0,0,0,0,0,1,2.493905487860234e-07,1.213183811499064e-05,0.0023422000646863826,0.00045162329479910376,-8.1585440162079274e-07
200,13,8,0.24062600087699448,0.05790087229805535,1,-1,1,0,2,-1,1,1379,0.023451795425522278,0.059777052232099143,0.036325256806576861,0.0036636857988458426,0.040023000888625954,0.03635931508978011,0.0031626256214190795,0.00089715703604607703,0.0031626256214190795,0.0031047283553222657,0.0047005117863776957,0.0032874141157729735,0.005423793292318041,0.05729998531446881,0.03228819212808539,0.037711985420403431,0.005423793292318041,0,0,0,0,0,0.56216877293110479,-1.3441166360064947e-05,0.00066015264612888987,0.010021839376853784,0,0.00012336100726497199
200,13,8,0.24062600087699448,0.05790087229805535,1,-1,1,0,3,-1,0,9,0.059774277522950649,0.059829254126127461,5.49766031768123e-05,0.040014741689767194,0.040197092235003201,0.00018235054523600691,0.0043680993744724707,8.101363560319149e-05,0.0043680993744724707,0.0043335488363299354,0.0044732032630218077,0.0043688505758861145,0.0044732032630218077,0.059826551034022679,0.040014741689767194,0.044487944952789002,0.0044732032630218077,0,0,0,0,0,1,1.7509521752224065e-05,0.00010031675094166803,0.0074075345078263178,0.0041626124032584704,-6.9309368079045023e-05
200,13,8,0.24062600087699448,0.05790087229805535,1,-1,1,0,4,-1,0,9,0.059835280868103455,0.059882175939390735,4.6895071287279821e-05,0.04021868144394744,0.040373202429999672,0.00015452098605223119,0.0043525305212327395,6.9957730213792151e-05,0.0043525305212327395,0.0043049027784272387,0.0044448522839876659,0.0043530926962654041,0.0044448522839876659,0.05987991994663109,0.04021868144394744,0.044663533727935106,0.0044448522839876659,0,0,0,0,0,1,1.5598004916093583e-05,8.7231572564112434e-05,0.0069915749095309414,0.0039328302701286824,-6.1868615734561792e-05
200,13,8,0.24062600087699448,0.05790087229805535,1,-1,3,1,1,-1,1,1271,0.022788525683789196,0.060184119157006846,0.03739559347321765,0.0034232385246118356,0.041427618412274846,0.03800437988766301,0.003081278672212401,0.00079217621793407943,0.003081278672212401,0.0030653230008911223,0.0042761976937360224,0.0031814810098586724,0.0042912470785293408,0.059773182121414276,0.040023000888625954,0.044314247967155294,0.0042912470785293408,0,0,0,0,0,0.89447990987607962,-0.0075387554709185744,0.00066015264612888987,0.018710651173125092,0,0.023981828459675149
201,3,15,0.24095008815644542,0.058056944982598821,1,1,1,0,1,-1,1,1459,0.019266177451634427,0.061998410222640181,0.042732232771005754,0.0025550832689392061,0.052901934623082056,0.050346851354142852,0.0030525724380408821,0.00082805462387944544,0.0030525724380408821,0.0030693873071544128,0.0042722608855347583,0.0031628899679905058,0.0042995241882156157,0.059773182121414276,0.040014723778939679,0.044314247967155294,0.0042995241882156157,0,0,0,0,0,0.54896810506566607,-3.7982699023840754e-05,0.00065691009975855246,0.0093571575318715378,0,0.0035054465557563946
201,3,15,0.24095008815644542,0.058056944982598821,1,1,3,1,1,-1,1,1269,0.022841894596397596,0.060167537760293252,0.037325643163895653,0.00343733005921098,0.041360907271514341,0.037923577212303362,0.0030894272533137624,0.00079251197519675329,0.0030894272533137624,0.0030734051422643648,0.0042841650602247526,0.0031894570046244668,0.0042995241882156157,0.059773182121414276,0.040014723778939679,0.044314247967155294,0.0042995241882156157,0,0,0,0,0,0.89406461307287755,-0.0075458963367897669,0.00065691009975855246,0.036229911133659962,0,0.02400738926440775
201,3,15,0.24095008815644542,0.058056944982598821,1,-1,1,0,1,-1,0,9,0.023288225610574635,0.023435848367533312,0.00014762275695867633,0.0035986849852646468,0.0036550312145467341,5.6346229282087327e-05,0.0018094359144049576,2.3745707242837381e-05,0.0018094359144049576,0.0018020074598435461,0.0018487670280729624,0.0018095917183030454,0.0018490971397000637,0.02342895263509006,0.0035986849852646468,0.0054477821249647104,0.0018490971397000637,0,0,0,0,0,1,4.7672145717212074e-08,1.0800968278565582e-05,0.0021850029919204248,0.00010224914145350462,-4.1819547711915189e-08
201,3,15,0.24095008815644542,0.058056944982598821,1,-1,1,0,2,-1,0,11,0.023466298064677531,0.023655990774495237,0.00018969270981770633,0.0036641691936944347,0.0037355999542094728,7.1430760515038029e-05,0.0018197720962779965,3.00189422834273e-05,0.0018197720962779965,0.0018021856849097418,0.0018739061757554795,0.0018200196755221712,0.0018743035552680485,0.023655990774495237,0.0036691127418278851,0.0055434162970959336,0.0018743035552680485,0,0,0,0,0,1,1.0952436288172093e-06,1.480249062268168e-05,0.0028421456968745081,0.001017806159086126,-4.1437175098946105e-06
201,3,15,0.24095008815644542,0.058056944982598821,1,-1,1,0,3,-1,1,1368,0.023643017087597012,0.059776211156188572,0.036133194068591556,0.0037294725187272597,0.040014723778939679,0.036285251260212419,0.0031760476052875219,0.00089132465745720237,0.0031760476052875219,0.0031204163570093622,0.0046900408804298127,0.0032987479497596965,0.0054211335129326285,0.057298805385383893,0.03228819212808539,0.037709325641018018,0.0054211335129326285,0,0,0,0,0,0.55996725337699549,-1.2356227017787966e-05,0.00065691009975855246,0.010016217517419072,0,0.00012232308591498409
201,3,15,0.24095008815644542,0.058056944982598821,1,-1,1,0,4,-1,0,9,0.059776738929787458,0.059829103891290175,5.2364961502716911e-05,0.040016395985180607,0.040188800852146635,0.00017240486696602775,0.0043710948814480559,7.7024670373731976e-05,0.0043710948814480559,0.004331957891042168,0.004471548967608395,0.0043717734687958813,0.004471548967608395,0.059826551034022679,0.040016395985180607,0.044487944952789002,0.004471548967608395,0,0,0,0,0,1,1.6989819895574471e-05,9.5642712034883965e-05,0.0072627484212288524,0.0041020186304573172,-6.730622737847569e-05
201,3,15,0.24095008815644542,0.058056944982598821,1,-1,1,0,5,-1,0,9,0.059837715883393788,0.059882035018620668,4.4319135226879303e-05,0.040219617896958583,0.040364904482757195,0.00014528658579861242,0.0043557607398902777,6.6426244280607926e-05,0.0043557607398902777,0.004303845148892281,0.0044439158309764679,0.0043562672173661169,0.0044439158309764679,0.059879919946631083,0.040219617896958583,0.044663533727935051,0.0044439158309764679,0,0,0,0,0,1,1.4624352454006221e-05,8.249471754170429e-05,0.0068238229531798885,0.0038088698092167885,-5.8029956894252538e-05
