mode_index,m,n,q,q2,branch_id,root_id,kind_id,source_id_0lambda_1trace,curve_id,raw_n_points,raw_K_min,raw_K_max,raw_K_span,raw_F_min,raw_F_max,raw_F_span,raw_contour_length,raw_touch_Kmin,raw_touch_Kmax,raw_touch_Fmin,raw_touch_Fmax,raw_edge_fraction,valid_n_points,valid_K_min,valid_K_max,valid_K_span,valid_F_min,valid_F_max,valid_F_span,valid_contour_length,valid_touch_Kmin,valid_touch_Kmax,valid_touch_Fmin,valid_touch_Fmax,valid_edge_fraction,complex_fraction,det_min,det_max,mean_abs_imag_lambda,min_abs_imag_lambda,rad_real_max
1999,35,35,0.77150916576669493,0.59522639286202161,1,1,1,0,1,2026,0.043013494655978209,0.062271704014184664,0.019258209358206456,0,0.10000000000000001,0.10000000000000001,0.10678969932104282,0,0,1,1,0.0009871668311944718,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,0.21421520236920039,-6.0049054527758564e-05,4.9049205382080928e-05,0.00087943921233898947,0,0.035911711080250784
1999,35,35,0.77150916576669493,0.59522639286202161,-1,1,1,0,1,1903,0,0.047618111428961732,0.047618111428961732,0,0.049443671195974467,0.049443671195974467,0.081973237431405777,1,0,1,0,0.0010509721492380452,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,0.22122963741460852,-3.0569338172805119e-05,4.01618567838994e-05,0.00092983681595733118,0,0.021192228107777843
2000,4,50,0.77159914595058299,0.59536524203166907,1,1,1,0,1,2024,0.043022408172411826,0.062271953738252749,0.019249545565840923,0,0.10000000000000001,0.10000000000000001,0.10678745046016364,0,0,1,1,0.00098814229249011851,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,0.21393280632411066,-5.9082210896008354e-05,4.9233671720098904e-05,0.00087715124733870513,0,0.035921923634617783
2000,4,50,0.77159914595058299,0.59536524203166907,-1,1,1,0,1,1901,0,0.047629219362533531,0.047629219362533531,0,0.049455724935399424,0.049455724935399424,0.081977411687384705,1,0,1,0,0.0010520778537611783,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,0.22041031036296685,-3.0675577516079203e-05,4.1352304120028348e-05,0.00092698322951313705,0,0.02120234071825032
2001,50,4,0.77159914595058299,0.59536524203166907,1,1,1,0,1,2024,0.043022408172411826,0.062271953738252749,0.019249545565840923,0,0.10000000000000001,0.10000000000000001,0.10678745046016364,0,0,1,1,0.00098814229249011851,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,0.21393280632411066,-5.9082210896008354e-05,4.9233671720098904e-05,0.00087715124733870513,0,0.035921923634617783
2001,50,4,0.77159914595058299,0.59536524203166907,-1,1,1,0,1,1901,0,0.047629219362533531,0.047629219362533531,0,0.049455724935399424,0.049455724935399424,0.081977411687384705,1,0,1,0,0.0010520778537611783,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,0.22041031036296685,-3.0675577516079203e-05,4.1352304120028348e-05,0.00092698322951313705,0,0.02120234071825032
2002,34,36,0.7717840781873353,0.59565066334347483,1,1,1,0,1,2024,0.043040733816740576,0.062272467434201187,0.019231733617460611,0,0.10000000000000001,0.10000000000000001,0.10678260018532534,0,0,1,1,0.00098814229249011851,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,0.21541501976284586,-6.1720442831699612e-05,4.9611856488316654e-05,0.00088119776136148028,0,0.035942920363001632
2002,34,36,0.7717840781873353,0.59565066334347483,-1,1,1,0,1,1903,0,0.047652053067477988,0.047652053067477988,0,0.049480502516241524,0.049480502516241524,0.082114813581904339,1,0,1,0,0.0010509721492380452,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,0.22228060956384657,-3.0837975532735894e-05,4.3801159944185063e-05,0.00093223022726603481,0,0.021223135671537417
2003,36,34,0.7717840781873353,0.59565066334347483,1,1,1,0,1,2024,0.043040733816740576,0.062272467434201187,0.019231733617460611,0,0.10000000000000001,0.10000000000000001,0.10678260018532534,0,0,1,1,0.00098814229249011851,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,0.21541501976284586,-6.1720442831699612e-05,4.9611856488316654e-05,0.00088119776136148028,0,0.035942920363001632
2003,36,34,0.7717840781873353,0.59565066334347483,-1,1,1,0,1,1903,0,0.047652053067477988,0.047652053067477988,0,0.049480502516241524,0.049480502516241524,0.082114813581904339,1,0,1,0,0.0010509721492380452,0,nan,nan,nan,nan,nan,nan,0,0,0,0,0,nan,0.22228060956384657,-3.0837975532735894e-05,4.3801159944185063e-05,0.00093223022726603481,0,0.021223135671537417
