mode_index,m,n,q,q2,n_valid_segments,best_mean_abs_DeltaF,best_rms_DeltaF,best_K_span,best_F_span,best_n_points,best_branch_id,best_root_id,best_kind_id,best_curve_id
1999,35,35,0.77150916576669493,0.59522639286202161,0,nan,nan,nan,nan,0,nan,nan,nan,nan
2000,4,50,0.77159914595058299,0.59536524203166907,0,nan,nan,nan,nan,0,nan,nan,nan,nan
2001,50,4,0.77159914595058299,0.59536524203166907,0,nan,nan,nan,nan,0,nan,nan,nan,nan
2002,34,36,0.7717840781873353,0.59565066334347483,0,nan,nan,nan,nan,0,nan,nan,nan,nan
2003,36,34,0.7717840781873353,0.59565066334347483,0,nan,nan,nan,nan,0,nan,nan,nan,nan
2004,14,48,0.77195226406765205,0.59591029799917394,0,nan,nan,nan,nan,0,nan,nan,nan,nan
2005,48,14,0.77195226406765205,0.59591029799917394,0,nan,nan,nan,nan,0,nan,nan,nan,nan
2006,28,41,0.77250096941512914,0.59675774774731427,0,nan,nan,nan,nan,0,nan,nan,nan,nan
2007,41,28,0.77250096941512914,0.59675774774731427,0,nan,nan,nan,nan,0,nan,nan,nan,nan
2008,33,37,0.77260816009846522,0.59692336905073573,0,nan,nan,nan,nan,0,nan,nan,nan,nan
2009,37,33,0.77260816009846522,0.59692336905073573,0,nan,nan,nan,nan,0,nan,nan,nan,nan
2010,25,43,0.77275314421438535,0.59714742189321868,0,nan,nan,nan,nan,0,nan,nan,nan,nan
2011,43,25,0.77275314421438535,0.59714742189321868,0,nan,nan,nan,nan,0,nan,nan,nan,nan
2012,17,47,0.77287560444952497,0.59733669995321859,0,nan,nan,nan,nan,0,nan,nan,nan,nan
2013,47,17,0.77287560444952497,0.59733669995321859,0,nan,nan,nan,nan,0,nan,nan,nan,nan
2014,5,50,0.77305004223469864,0.59760636779906939,0,nan,nan,nan,nan,0,nan,nan,nan,nan
2015,50,5,0.77305004223469864,0.59760636779906939,0,nan,nan,nan,nan,0,nan,nan,nan,nan
2016,32,38,0.77397945243970145,0.59904419279886012,0,nan,nan,nan,nan,0,nan,nan,nan,nan
2017,38,32,0.77397945243970145,0.59904419279886012,0,nan,nan,nan,nan,0,nan,nan,nan,nan
2018,11,49,0.77409436015581223,0.59922207842503639,0,nan,nan,nan,nan,0,nan,nan,nan,nan
